club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 27 Dec 2008",/event.aspx?75116,Roman Flügel
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 20 Dec 2008",/event.aspx?75123,Ed Rush
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 6 Dec 2008",/event.aspx?75121,Herzschwester
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 6 Dec 2008",/event.aspx?75121,Ajele
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 6 Dec 2008",/event.aspx?75121,Masaya
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 6 Dec 2008",/event.aspx?75121,Arnaud Rebotini
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 6 Dec 2008",/event.aspx?75121,Alex Like
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 29 Nov 2008",/event.aspx?75117,GusGus
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 29 Nov 2008",/event.aspx?75117,2 Many DJs
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 28 Nov 2008",/event.aspx?75118,Goldie
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 28 Nov 2008",/event.aspx?75118,Calyx
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 28 Nov 2008",/event.aspx?75118,Teebee
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 12 Apr 2008",/event.aspx?45692,Sven Vath
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 12 Apr 2008",/event.aspx?45692,Minilogue
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 12 Apr 2008",/event.aspx?45692,Manon
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 15 Mar 2008",/event.aspx?42574,Jeff Milligan
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 26 Sep 2009",/event.aspx?113593,Kruder & Dorfmeister
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 26 Sep 2009",/event.aspx?113593,Makossa & Megablast
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 18 Sep 2009",/event.aspx?118144,Skinnerbox
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 18 Sep 2009",/event.aspx?118144,Broombeck
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 18 Sep 2009",/event.aspx?118144,Wandler
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Wed, 20 May 2009",/event.aspx?87419,Marek Hemmann
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Wed, 20 May 2009",/event.aspx?87419,Simon Stokes
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 25 Apr 2009",/event.aspx?82976,Sven Vath
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 Feb 2009",/event.aspx?83840,The Glimmers
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 31 Jan 2009",/event.aspx?78328,Radioclit
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 31 Jan 2009",/event.aspx?78328,Round Table Knights
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Thu, 25 Nov 2010",/event.aspx?210092,Jagged
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 12 Nov 2010",/event.aspx?202643,Monika Kruse
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 12 Nov 2010",/event.aspx?202643,Manon
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 16 Oct 2010",/event.aspx?173253,Channel X
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 9 Oct 2010",/event.aspx?194445,Booka Shade
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 9 Oct 2010",/event.aspx?194445,M.A.N.D.Y.
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 9 Oct 2010",/event.aspx?194445,Animal Trainer
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 9 Oct 2010",/event.aspx?194445,Robel
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 19 Jun 2010",/event.aspx?171841,Ajele
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 19 Jun 2010",/event.aspx?171841,Manon
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 22 May 2010",/event.aspx?141013,Sven Väth
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 22 May 2010",/event.aspx?141013,Masaya
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 22 May 2010",/event.aspx?141013,Jagged
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 7 May 2010",/event.aspx?162440,Alex Smoke
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 7 May 2010",/event.aspx?162440,Crowdpleaser
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 17 Apr 2010",/event.aspx?152113,Oxia
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 17 Apr 2010",/event.aspx?152113,Seuil
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 17 Apr 2010",/event.aspx?152113,Frango
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 17 Apr 2010",/event.aspx?152113,Mike Machine
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 27 Mar 2010",/event.aspx?181531,Dom & Roland
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 27 Mar 2010",/event.aspx?181531,Markee
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 12 Feb 2010",/event.aspx?136448,SCSI-9
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 12 Feb 2010",/event.aspx?136448,Marc DePulse
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 12 Feb 2010",/event.aspx?136448,Jagged
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 29 Oct 2011",/event.aspx?286573,T. Raumschmiere
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 29 Oct 2011",/event.aspx?286573,Sid Le Rock
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 29 Oct 2011",/event.aspx?286573,Daniel Meteo
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Thu, 16 Jun 2011",/event.aspx?259720,Nooncat
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Thu, 16 Jun 2011",/event.aspx?259720,Alex Meshkov
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 3 Jun 2011",/event.aspx?240686,Manon
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 20 May 2011",/event.aspx?258374,Isolée
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 20 May 2011",/event.aspx?258374,Genius of Time
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Exercise One
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Rodriguez Jr.
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Pablo Bolivar
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Wandler
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Jacqui
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Nick Nasty
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 6 May 2011",/event.aspx?250166,Frango
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 15 Apr 2011",/event.aspx?239945,Moodymann
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 15 Apr 2011",/event.aspx?239945,Sassy J
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 4 Mar 2011",/event.aspx?235173,Marko Fürstenberg
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 4 Mar 2011",/event.aspx?235173,Gorançon
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 4 Feb 2011",/event.aspx?225713,J_Sanders
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 4 Feb 2011",/event.aspx?225713,Boris Why
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Tue, 25 Dec 2012",/event.aspx?436566,Legowelt
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Tue, 25 Dec 2012",/event.aspx?436566,Timnah Sommerfeldt
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Tue, 25 Dec 2012",/event.aspx?436566,Jagged
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 28 Sep 2012",/event.aspx?407571,Kode 9
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 28 Sep 2012",/event.aspx?407571,Cooly G
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Thu, 13 Sep 2012",/event.aspx?403944,Karsten Pflum
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 26 May 2012",/event.aspx?372537,Dirty Larry
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 26 May 2012",/event.aspx?372537,Cubex
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 19 May 2012",/event.aspx?355202,Sven Väth
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 19 May 2012",/event.aspx?355202,Andri
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 19 May 2012",/event.aspx?355202,Jon Donson
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 27 Apr 2012",/event.aspx?316773,Gorge
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 27 Apr 2012",/event.aspx?316773,Nick Curly
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 27 Apr 2012",/event.aspx?316773,Kellerkind
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 27 Apr 2012",/event.aspx?316773,Animal Trainer
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Fri, 27 Apr 2012",/event.aspx?316773,Jon Donson
"Neubrückstrasse 8; 3011, Bern",9655, Reitschule,/club.aspx?id=9655,"Sat, 7 Apr 2012",/event.aspx?344322,Trentemøller
