club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 31 Dec 2010",/event.aspx?212549,Jimi Jules
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 31 Dec 2010",/event.aspx?212549,Nici Faerber
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 11 Dec 2010",/event.aspx?212543,Katakombot
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 11 Dec 2010",/event.aspx?212543,DVW
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 10 Dec 2010",/event.aspx?212538,Luki
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 10 Dec 2010",/event.aspx?212538,Atomic Nick
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 4 Dec 2010",/event.aspx?212535,Elvis Cassetta
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 4 Dec 2010",/event.aspx?212535,Pazkal
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 3 Dec 2010",/event.aspx?212542,Flavor
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 3 Dec 2010",/event.aspx?212542,Nici Faerber
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 27 Nov 2010",/event.aspx?200809,Markus Mehta
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 27 Nov 2010",/event.aspx?200809,König Balthasar
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 5 Nov 2010",/event.aspx?200799,Lukas Kleesattel
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 5 Nov 2010",/event.aspx?200799,Dan Michaels
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 30 Oct 2010",/event.aspx?194543,Playlove
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 29 Oct 2010",/event.aspx?194541,are:age
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 23 Oct 2010",/event.aspx?194537,Da Funk
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 23 Oct 2010",/event.aspx?194537,Le Citadin
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 23 Oct 2010",/event.aspx?194537,König Balthasar
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 22 Oct 2010",/event.aspx?194535,The C90s
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 22 Oct 2010",/event.aspx?194535,Atomic Nick
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 22 Oct 2010",/event.aspx?194535,Le Frère
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 16 Oct 2010",/event.aspx?194532,Rich Braker
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 9 Oct 2010",/event.aspx?194526,Katakombot
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 9 Oct 2010",/event.aspx?194526,Mike Peters
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 2 Oct 2010",/event.aspx?194491,Pazkal
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 2 Oct 2010",/event.aspx?194491,Brenner
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 1 Oct 2010",/event.aspx?194490,Animal Trainer
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 1 Oct 2010",/event.aspx?194490,Elvis Cassetta
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 18 Sep 2010",/event.aspx?188610,Rich Braker
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 4 Sep 2010",/event.aspx?188604,Katakombot
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 3 Sep 2010",/event.aspx?188479,Jacqui
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Bastian Schuster
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Marco Wahl
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Don Ramon
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Elvis Cassetta
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Barbir
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Pazkal
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Nicola Kazimir
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Sat, 14 Aug 2010",/event.aspx?174925,Audino
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Tue, 13 Jul 2010",/event.aspx?182516,Jack Pryce
"Hohlstrasse 18; 8004, Zürich",33445, Revier,/club.aspx?id=33445,"Fri, 25 Jun 2010",/event.aspx?175420,Telonius
