club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 10 Sep 2011",/event.aspx?250811,Tube & Berger
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 20 Aug 2011",/event.aspx?270168,Synthgloss
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 9 Jul 2011",/event.aspx?275345,Wicked Wilma
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 9 Jul 2011",/event.aspx?275345,Spitfire
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 11 Jun 2011",/event.aspx?246173,Martin Huergo
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 11 Jun 2011",/event.aspx?246173,Suspect One
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Tue, 31 May 2011",/event.aspx?263987,Martin Huergo
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Tue, 31 May 2011",/event.aspx?263987,Suspect One
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 1 Apr 2011",/event.aspx?240048,Martin Landsky
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 1 Apr 2011",/event.aspx?240048,Lu K.
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 15 Jan 2011",/event.aspx?218390,Spitfire
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sun, 26 Aug 2012",/event.aspx?388585,Kåre Kyl
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sun, 26 Aug 2012",/event.aspx?388585,Rennie Røyma
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 8 Jun 2012",/event.aspx?367123,parkcity
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Wed, 6 Jun 2012",/event.aspx?408922,Amine Edge
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 28 Dec 2013",/event.aspx?545702,Deneha
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 28 Dec 2013",/event.aspx?545702,Suddenly Neighbours
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 30 Nov 2013",/event.aspx?527712,Santé
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 30 Nov 2013",/event.aspx?527712,Manuel Moreno
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 15 Nov 2013",/event.aspx?532670,Kollektiv Turmstrasse
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 15 Nov 2013",/event.aspx?532670,Nici Faerber
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 15 Nov 2013",/event.aspx?532670,Pablo Einzig
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 9 Nov 2013",/event.aspx?532669,Animal Trainer
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 26 Oct 2013",/event.aspx?528281,Nhan Solo
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 26 Oct 2013",/event.aspx?528281,Sishi Rosch
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 26 Oct 2013",/event.aspx?528281,Liebkind
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 27 Sep 2013",/event.aspx?507447,Till von Sein
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 20 Sep 2013",/event.aspx?511494,Animal Trainer
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 20 Sep 2013",/event.aspx?511494,Kellerkind
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 20 Sep 2013",/event.aspx?511494,Jimi Jules
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 14 Sep 2013",/event.aspx?513198,Noir
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 14 Sep 2013",/event.aspx?513198,Kyrill & Redford
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 14 Sep 2013",/event.aspx?513198,Sous Sol
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 14 Sep 2013",/event.aspx?513198,Martin Baur
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 14 Sep 2013",/event.aspx?513198,Dietrich & Strolch
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 8 Jun 2013",/event.aspx?486223,Hot Since 82
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 8 Jun 2013",/event.aspx?486223,Nekow
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 8 Jun 2013",/event.aspx?486223,Weise
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 31 May 2013",/event.aspx?479242,HNQO
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 31 May 2013",/event.aspx?479242,Dread J
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 31 May 2013",/event.aspx?479242,Sous Sol
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 31 May 2013",/event.aspx?479242,Martin Baur
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 18 May 2013",/event.aspx?477290,Finnebassen
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 18 May 2013",/event.aspx?477290,parkcity
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 30 Mar 2013",/event.aspx?467704,Adam Port
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 30 Mar 2013",/event.aspx?467704,Sous Sol
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 12 Jan 2013",/event.aspx?436778,Khainz
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 12 Jan 2013",/event.aspx?436778,James Mc Hale
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Wed, 31 Dec 2014",/event.aspx?659061,Martin Buttrich
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Wed, 31 Dec 2014",/event.aspx?659061,Animal Trainer
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Dec 2014",/event.aspx?650041,Steve Lawler
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Dec 2014",/event.aspx?650041,Khainz
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Dec 2014",/event.aspx?650041,Nukem
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Dec 2014",/event.aspx?650041,Martin Baur
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 28 Nov 2014",/event.aspx?651907,Animal Trainer
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 28 Nov 2014",/event.aspx?651907,Jimi Jules
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 28 Nov 2014",/event.aspx?651907,Sous Sol
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 22 Nov 2014",/event.aspx?651908,Re.You
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 22 Nov 2014",/event.aspx?651908,Einzig
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 22 Nov 2014",/event.aspx?651908,Faerber
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 22 Nov 2014",/event.aspx?651908,Honoree
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 1 Nov 2014",/event.aspx?648910,Kid Sleazy
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 17 Oct 2014",/event.aspx?637134,Nina Kraviz
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 17 Oct 2014",/event.aspx?637134,Jimi Jules
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 17 Oct 2014",/event.aspx?637134,Honoree
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Sep 2014",/event.aspx?629058,Anja Schneider
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Sep 2014",/event.aspx?629058,Rodriguez Jr.
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Sep 2014",/event.aspx?629058,Sebo K
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 13 Sep 2014",/event.aspx?629058,Manon
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 5 Sep 2014",/event.aspx?630636,DJ Hell
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Fri, 5 Sep 2014",/event.aspx?630636,Xenia Beliayeva
"Seidenhofstrasse 5; 6003, Luzern",39963, Rok Klub,/club.aspx?id=39963,"Sat, 30 Aug 2014",/event.aspx?616025,Catz 'N Dogz
