club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 12 Aug 2007",/event.aspx?27440,The Kooky Scientist
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 12 Aug 2007",/event.aspx?27440,Styro 2000
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 12 Aug 2007",/event.aspx?27440,P.Bell
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 12 Aug 2007",/event.aspx?27440,Ida
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Wed, 12 Nov 2008",/event.aspx?66170,The Streets
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 19 Sep 2008",/event.aspx?61739,Marc Antona
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 19 Sep 2008",/event.aspx?61739,Jens Zimmermann
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 10 Aug 2008",/event.aspx?60854,Sven Dohse
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 10 Aug 2008",/event.aspx?60854,Styro 2000
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 10 Aug 2008",/event.aspx?60854,P.Bell
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 10 Aug 2008",/event.aspx?60854,Ida
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Juan Atkins
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Jesse Rose
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Bomb The Bass
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Rex the Dog
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Djuma Soundsystem
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Galoppierende Zuversicht
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Bodi Bill
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 9 Aug 2008",/event.aspx?60853,Feldermelder
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Juan Atkins
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Mike Banks
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,The Emperor Machine
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,SweetnCandy
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Pilooski
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Peverelist
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Appleblim
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Low Motion Disco
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Kalabrese
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 8 Aug 2008",/event.aspx?57979,Lexx
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 22 Feb 2008",/event.aspx?44515,Camea
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 22 Feb 2008",/event.aspx?44515,Wandler
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Dec 2009",/event.aspx?124713,Robert Babicz
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Dec 2009",/event.aspx?124713,Quitim
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Dec 2009",/event.aspx?124713,Massive Jay
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 2 Oct 2009",/event.aspx?120497,Wicked Wilma
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 2 Oct 2009",/event.aspx?120497,Wandler
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Sep 2009",/event.aspx?110643,16 Bit Lolitas
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Sep 2009",/event.aspx?110643,Kaiser Souzai
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Sep 2009",/event.aspx?110643,Liquid Soul
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 4 Sep 2009",/event.aspx?110643,Smalltown Collective
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 9 Aug 2009",/event.aspx?108147,Kollektiv Turmstrasse
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 9 Aug 2009",/event.aspx?108147,P.Bell
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sun, 9 Aug 2009",/event.aspx?108147,Ida
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Pan/Tone
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Ada
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Metope
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Octave One
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Tim Exile
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Access Denied
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Larytta
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Kiki
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Galoppierende Zuversicht
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Sat, 8 Aug 2009",/event.aspx?108146,Playlove
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Kalabrese
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,dOP
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Gavin Russom
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Black Meteoric Star
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Crowdpleaser
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Idjut Boys
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Animal Trainer
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Flavor
"Seestrasse 395; 8038, Zürich",6667, Rote Fabrik,/club.aspx?id=6667,"Fri, 7 Aug 2009",/event.aspx?108149,Dadaglobal
