club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Wed, 18 Jan 2017",/event.aspx?887525,Dave Eleanor
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Nov 2016",/event.aspx?894214,Rezzett
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Nov 2016",/event.aspx?894214,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Nov 2016",/event.aspx?894214,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 15 Sep 2016",/event.aspx?870306,Kassem Mosse
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 15 Sep 2016",/event.aspx?870306,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 15 Sep 2016",/event.aspx?870306,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 11 Aug 2016",/event.aspx?870420,Le Bérger
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 2 Jun 2016",/event.aspx?836997,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 2 Jun 2016",/event.aspx?836997,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Mar 2016",/event.aspx?803008,Huerco S
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Mar 2016",/event.aspx?803008,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Mar 2016",/event.aspx?803008,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 25 Feb 2016",/event.aspx?801785,Hatti Vatti
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Sat, 13 Feb 2016",/event.aspx?801382,Phrex
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Dec 2015",/event.aspx?775744,Ron Morelli
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Dec 2015",/event.aspx?775744,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Dec 2015",/event.aspx?775744,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Sep 2015",/event.aspx?749283,Even Tuell
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Sep 2015",/event.aspx?749283,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 10 Sep 2015",/event.aspx?749283,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 14 May 2015",/event.aspx?870425,Knäckebröd
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 5 Mar 2015",/event.aspx?675196,Pender Street Steppers
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 5 Mar 2015",/event.aspx?675196,Hashman Deejay
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 5 Mar 2015",/event.aspx?675196,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 5 Mar 2015",/event.aspx?675196,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 6 Nov 2014",/event.aspx?643191,Greg Beato
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 6 Nov 2014",/event.aspx?643191,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 6 Nov 2014",/event.aspx?643191,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 8 May 2014",/event.aspx?586112,Sadar Bahar
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 8 May 2014",/event.aspx?586112,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 8 May 2014",/event.aspx?586112,Stride
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Oct 2013",/event.aspx?525673,Anthony Naples
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Oct 2013",/event.aspx?525673,Madteo
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Oct 2013",/event.aspx?525673,Will Bankhead
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Oct 2013",/event.aspx?525673,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 17 Oct 2013",/event.aspx?525673,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 9 May 2013",/event.aspx?474606,Moiré
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 9 May 2013",/event.aspx?474606,Sassy J
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 9 May 2013",/event.aspx?474606,Kev the Head
"Neubrückstr. 8, 3001 Bern",41145, Rössli,/club.aspx?id=41145,"Thu, 15 Dec 2011",/event.aspx?316763,Jan Penarrubia
