club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 1 Apr 2017",/event.aspx?891692,Julia Govor
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 31 Mar 2017",/event.aspx?920357,Denis Horvat
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 31 Mar 2017",/event.aspx?920357,Garance
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Oct 2016",/event.aspx?891443,Brett Jacobs
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Oct 2016",/event.aspx?891443,Elrino
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 2 Apr 2016",/event.aspx?809151,Trunkline
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 5 Mar 2016",/event.aspx?809141,STERAC
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 5 Mar 2016",/event.aspx?809141,Steve Rachmad
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 5 Mar 2016",/event.aspx?809141,The Alchemist
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 19 Feb 2016",/event.aspx?791055,Stephen O'Malley
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 19 Feb 2016",/event.aspx?791055,Aubry
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 19 Feb 2016",/event.aspx?791055,Mika Vainio
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 19 Feb 2016",/event.aspx?791055,Ketev
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 12 Dec 2014",/event.aspx?655399,Tim Green
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,Nemelka
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,Damian Deroma
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,Olivier Kolly
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,yAn!
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,Marlon
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 29 Nov 2014",/event.aspx?639873,Se-te-ve
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 22 Mar 2014",/event.aspx?560133,Peter Van Hoesen
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 9 Nov 2013",/event.aspx?518579,Mihai Popoviciu
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 26 Oct 2013",/event.aspx?524014,Lakker
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 26 Oct 2013",/event.aspx?524014,Wandler
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 26 Oct 2013",/event.aspx?524014,Gaspard de La Montagne
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 12 Oct 2013",/event.aspx?521927,Miss Sunshine
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Fri, 27 Sep 2013",/event.aspx?502450,Grandmaster Flash
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 27 Apr 2013",/event.aspx?454610,Perc
"Rue du 23-juin 23; 2800, Delémont",22971, Sas,/club.aspx?id=22971,"Sat, 27 Apr 2013",/event.aspx?454610,Truss
