club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 28 Jul 2013",/event.aspx?505283,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 28 Jul 2013",/event.aspx?505283,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 21 Apr 2013",/event.aspx?474796,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 21 Apr 2013",/event.aspx?474796,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 9 Mar 2013",/event.aspx?460681,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 9 Mar 2013",/event.aspx?460681,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 17 Feb 2013",/event.aspx?460676,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 17 Feb 2013",/event.aspx?460676,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 17 Feb 2013",/event.aspx?460676,Mike & Nika
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 2 Feb 2013",/event.aspx?460670,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 2 Feb 2013",/event.aspx?460670,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 10 Jun 2012",/event.aspx?443350,Francesco Ballato
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 10 Jun 2012",/event.aspx?443350,Dalibox
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sun, 29 May 2011",/event.aspx?261166,Dominik Auderset
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Fri, 3 Dec 2010",/event.aspx?195014,Tuncay Celik
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Fri, 29 Oct 2010",/event.aspx?188996,Franco Bianco
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Fri, 29 Oct 2010",/event.aspx?188996,Martin Huergo
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Fri, 29 Oct 2010",/event.aspx?188996,Iori Wakasa
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Fri, 3 Sep 2010",/event.aspx?182313,Tuncay Celik
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 31 Oct 2009",/event.aspx?118343,Fran-G
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 3 Oct 2009",/event.aspx?119345,Miss Peel
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 3 Oct 2009",/event.aspx?119345,Herzschwester
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Sat, 3 Oct 2009",/event.aspx?119345,Margaret Dygas
"Theaterstrasse 4; 4051, Basel",17343, Saxophon Music Bar,/club.aspx?id=17343,"Thu, 30 Apr 2009",/event.aspx?93565,DJ Sixxxx
