club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 19 Dec 2014",/event.aspx?665910,George Morel
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Der Dritte Raum
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Archie Hamilton
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Darrien
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Nenad
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Zouaoui
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Thu, 31 Dec 2015",/event.aspx?777242,Mickail
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 26 Dec 2015",/event.aspx?777241,Just Emma
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 26 Dec 2015",/event.aspx?777241,Pablo Einzig
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 19 Dec 2015",/event.aspx?777240,Krink
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 19 Dec 2015",/event.aspx?777240,Frank Lorber
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 19 Dec 2015",/event.aspx?777240,Nici Faerber
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 18 Dec 2015",/event.aspx?770895,Torsten Kanzler
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 18 Dec 2015",/event.aspx?770895,Krenzlin
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 12 Dec 2015",/event.aspx?777238,Gunnar Stiller
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 12 Dec 2015",/event.aspx?777238,Dennis Beutler
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 12 Dec 2015",/event.aspx?777238,Hug & Schiemann
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 11 Dec 2015",/event.aspx?773276,Extrawelt
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 5 Dec 2015",/event.aspx?777236,Dhaze
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 28 Nov 2015",/event.aspx?770857,Nick Curly
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 28 Nov 2015",/event.aspx?770857,Haydn
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 28 Nov 2015",/event.aspx?770857,Pete & Pete
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 28 Nov 2015",/event.aspx?770857,Mickail
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 27 Nov 2015",/event.aspx?770854,Edelstahl
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 21 Nov 2015",/event.aspx?770853,Proudly People
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 21 Nov 2015",/event.aspx?770853,Alex Ground
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 21 Nov 2015",/event.aspx?770853,Nukem
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 21 Nov 2015",/event.aspx?770853,Mattoo
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 21 Nov 2015",/event.aspx?770853,Bfly Steiner
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 20 Nov 2015",/event.aspx?770850,Jon Donson
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 14 Nov 2015",/event.aspx?770848,Mike Kay
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 14 Nov 2015",/event.aspx?770848,Darrien
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 14 Nov 2015",/event.aspx?770848,Zouaoui
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 14 Nov 2015",/event.aspx?770848,Jay Phonic
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 13 Nov 2015",/event.aspx?770847,Jamie Shar
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 7 Nov 2015",/event.aspx?761488,East End Dubs
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 7 Nov 2015",/event.aspx?761488,DoubtingThomas
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 31 Oct 2015",/event.aspx?758624,Emanuele Inglese
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 31 Oct 2015",/event.aspx?758624,Mickail
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 30 Oct 2015",/event.aspx?758628,Liquid Soul
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 23 Oct 2015",/event.aspx?758622,Jessica Diaz
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 23 Oct 2015",/event.aspx?758622,Crocodile Soup
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 23 Oct 2015",/event.aspx?758622,Roberto Martin
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 17 Oct 2015",/event.aspx?758618,Andre Galluzzi
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Sat, 17 Oct 2015",/event.aspx?758618,Frank Lorber
Tellistrassse 118 A  5000 Aarau,100477, Schlaflos Aarau,/club.aspx?id=100477,"Fri, 16 Oct 2015",/event.aspx?758615,Mihai Popoviciu
