club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Fri, 7 Dec 2012",/event.aspx?419484,Biodan
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 19 May 2012",/event.aspx?348681,Los Cruzeiros
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 12 May 2012",/event.aspx?488398,Sins
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 28 Apr 2012",/event.aspx?348680,Los Cruzeiros
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 17 Mar 2012",/event.aspx?337578,Rainer
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 17 Mar 2012",/event.aspx?337578,Laurent Charbon
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 3 Mar 2012",/event.aspx?326764,Miguel Campbell
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 18 Feb 2012",/event.aspx?334956,Andri
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Wed, 1 Feb 2012",/event.aspx?334950,David Armada
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Wed, 25 Jan 2012",/event.aspx?326819,Daniel dB
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 21 Jan 2012",/event.aspx?329107,Lovebirds
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Wed, 11 Jan 2012",/event.aspx?324743,Chris Bailey
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Wed, 4 Jan 2012",/event.aspx?324742,Chris Bailey
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 10 Dec 2011",/event.aspx?308629,Monkey Safari
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 3 Dec 2011",/event.aspx?311380,D-andy & T-rony
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 3 Dec 2011",/event.aspx?311380,Don Ramon
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 26 Nov 2011",/event.aspx?311379,Freiberg
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 26 Nov 2011",/event.aspx?311379,Emmat
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 26 Nov 2011",/event.aspx?311379,Crowdpleaser
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 19 Nov 2011",/event.aspx?311377,Dadive
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 19 Nov 2011",/event.aspx?311377,Ryan Hawkin
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 5 Nov 2011",/event.aspx?306285,Robert James
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 29 Oct 2011",/event.aspx?304429,Max Nero
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 22 Oct 2011",/event.aspx?303235,Pepperpot
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 15 Oct 2011",/event.aspx?300483,Pandallougi
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 15 Oct 2011",/event.aspx?300483,Emmat
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 15 Oct 2011",/event.aspx?300483,Franco Cinelli
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 8 Oct 2011",/event.aspx?297917,Mia Kaltes
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 8 Oct 2011",/event.aspx?297917,D-andy & T-rony
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 1 Oct 2011",/event.aspx?294807,Bruno Pronsato
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 1 Oct 2011",/event.aspx?294807,Jacqui
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 18 Jun 2011",/event.aspx?259392,Animal Trainer
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 18 Jun 2011",/event.aspx?259392,Benja
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 18 Jun 2011",/event.aspx?259392,Reto Ardour
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Fri, 27 May 2011",/event.aspx?260666,Cosmic Bastards
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 21 May 2011",/event.aspx?259154,Dyson_c
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Thu, 27 Jan 2011",/event.aspx?226045,Luca Albano
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Mon, 18 Oct 2010",/event.aspx?201080,Masomenos
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 2 Oct 2010",/event.aspx?196663,G!L Everest
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 15 May 2010",/event.aspx?221544,Wayne Harber
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 15 May 2010",/event.aspx?221544,Marcus Werany
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 19 Sep 2009",/event.aspx?113347,Jacqui
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 28 Feb 2009",/event.aspx?82626,Andrade
"Place du Tunnel 9; 1005, Lausanne",20707, Sidewalk Café & Vinyl Club,/club.aspx?id=20707,"Sat, 28 Feb 2009",/event.aspx?82626,Limic
