club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 11 Nov 2016",/event.aspx?887493,Dave Eleanor
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 11 Nov 2016",/event.aspx?887493,Guyus
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Omar Souleyman
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Clap! Clap!
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Mr Raoul K
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Africaine 808
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Alma Negra
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Nico Sonne
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Rolf Saxer
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Rearte
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 28 Oct 2016",/event.aspx?882388,Luke Redford
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 19 Aug 2016",/event.aspx?864243,Rolf Saxer
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Sun, 6 Sep 2015",/event.aspx?752477,Lapalux
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Sun, 6 Sep 2015",/event.aspx?752477,Dave Eleanor
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Sat, 22 Aug 2015",/event.aspx?745619,Elvis Cassetta
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 10 Apr 2015",/event.aspx?705712,Egotronic
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 10 Apr 2015",/event.aspx?705712,Erobique
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 10 Apr 2015",/event.aspx?705712,nemoy
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Fri, 10 Apr 2015",/event.aspx?705712,MTDF
"Gessnerallee 8; 8001, Zurich",9802, Stall 6,/club.aspx?id=9802,"Wed, 11 Mar 2015",/event.aspx?712133,Erobique
