club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sat, 16 Feb 2013",/event.aspx?445820,Bitsculpter
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sat, 25 Jun 2011",/event.aspx?265329,Emmat
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Fri, 27 May 2011",/event.aspx?262663,Emmat
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sat, 12 Mar 2011",/event.aspx?239196,Olafson
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sat, 12 Mar 2011",/event.aspx?239196,Damian Deroma
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Fri, 19 Nov 2010",/event.aspx?203275,Olafson
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sun, 7 Nov 2010",/event.aspx?205348,Kreisprozess
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Fri, 5 Nov 2010",/event.aspx?538889,Youn Caro
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Fri, 5 Nov 2010",/event.aspx?538889,Neet
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Sun, 3 Oct 2010",/event.aspx?196319,Kreisprozess
"Rue de la Grotte 3; 1003, Lausanne",12519, Standard Café,/club.aspx?id=12519,"Fri, 10 Oct 2008",/event.aspx?63133,Born Bjorg
