club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 18 May 2012",/event.aspx?353570,Mark Steven
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 23 Mar 2012",/event.aspx?349255,Tec Jones
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 13 Jan 2012",/event.aspx?326645,Mäx Varano
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 13 Jan 2012",/event.aspx?326645,Santorini
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 18 Nov 2011",/event.aspx?303259,Juzz
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Fri, 18 Nov 2011",/event.aspx?303259,Santorini
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 8 Oct 2011",/event.aspx?294592,Vanita
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 10 Sep 2011",/event.aspx?285177,Mäx Varano
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 10 Sep 2011",/event.aspx?285177,Tec Jones
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 10 Sep 2011",/event.aspx?285177,Rocco
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 10 Sep 2011",/event.aspx?285177,Mark Steven
"Bahnhofstrasse 15; 9000, St.Gallen",51332, Studio 15,/club.aspx?id=51332,"Sat, 20 Aug 2011",/event.aspx?285176,Tec Jones
