club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sat, 11 Jul 2015",/event.aspx?731298,Sandro Kuhne
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sat, 11 Jul 2015",/event.aspx?731298,Alci
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sat, 11 Jul 2015",/event.aspx?731298,Trinkler
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sat, 11 Jul 2015",/event.aspx?731298,Flavio (CH)
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 7 Jul 2015",/event.aspx?721186,tINI
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 7 Jul 2015",/event.aspx?721186,Andrea Oliva
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 7 Jul 2015",/event.aspx?721186,DJ Le Roi
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 7 Jul 2015",/event.aspx?721186,Gianni Callipari
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 10 Jul 2012",/event.aspx?383758,Ryan Crosson
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 10 Jul 2012",/event.aspx?383758,Cesar Merveille
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 10 Jul 2012",/event.aspx?383758,Reas
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 10 Jul 2012",/event.aspx?383758,Rare Movement
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Thu, 14 Jul 2011",/event.aspx?278725,Garance
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Thu, 14 Jul 2011",/event.aspx?278725,diSoul
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Wed, 13 Jul 2011",/event.aspx?271729,Jamie Jones
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Fri, 8 Jul 2011",/event.aspx?258961,The Cruzaders
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 5 Jul 2011",/event.aspx?272452,Barem
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 5 Jul 2011",/event.aspx?272452,Tremendo
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 5 Jul 2011",/event.aspx?272452,Romano Rapeso
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 5 Jul 2011",/event.aspx?272452,Huazee
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Tue, 5 Jul 2011",/event.aspx?272452,Rodri
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sun, 11 Jul 2010",/event.aspx?178783,Mountain People
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sun, 11 Jul 2010",/event.aspx?178783,Mendo
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sun, 11 Jul 2010",/event.aspx?178783,D-andy & T-rony
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Fri, 9 Jul 2010",/event.aspx?168733,The Cruzaders
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sun, 4 Jul 2010",/event.aspx?176017,Martin Buttrich
"Montreux Jazz Festival, 1820 Montreux",30627, Studio 41,/club.aspx?id=30627,"Sun, 4 Jul 2010",/event.aspx?176017,Tremendo
