club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Martin Landsky
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Guido Schneider
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Quenum
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Serafin
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Rozzo
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 31 Dec 2006",/event.aspx?18284,Bohnenblust
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 30 Dec 2006",/event.aspx?18283,Cassy
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 30 Dec 2006",/event.aspx?18283,Don Ramon
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 29 Dec 2006",/event.aspx?18282,Jens Bond
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 28 Dec 2006",/event.aspx?18281,Samim
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 9 Dec 2006",/event.aspx?18280,Kalabrese
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 1 Dec 2006",/event.aspx?39277,Tremendo
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 30 Nov 2006",/event.aspx?39278,Karotte
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 30 Nov 2006",/event.aspx?39278,Manon
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 10 Nov 2006",/event.aspx?39280,Mirko Loko
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 10 Nov 2006",/event.aspx?39280,Yann DL
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 4 Nov 2006",/event.aspx?39279,Trentemoller
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 14 Oct 2006",/event.aspx?39281,Stephan Bodzin
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 13 Oct 2006",/event.aspx?39282,Sian
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 13 Oct 2006",/event.aspx?39282,Miss Jools
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 13 Oct 2006",/event.aspx?39282,Bohnenblust
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 6 Oct 2006",/event.aspx?39283,Patrick Chardronnet
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 6 Oct 2006",/event.aspx?39283,Don Ramon
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 29 Sep 2006",/event.aspx?39284,Dinky
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 29 Sep 2006",/event.aspx?39284,Cassy
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 28 Sep 2006",/event.aspx?39285,Alex Under
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 28 Sep 2006",/event.aspx?39285,Kalabrese
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 25 Aug 2006",/event.aspx?39286,Marco Berto
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 25 Aug 2006",/event.aspx?39286,Flavor
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Luciano
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Loco Dice
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Guido Schneider
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Tobi Neumann
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Serafin
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Rozzo
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Sebbo
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Quenum
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Styro 2000
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Gleichschritt
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Disco Dave
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Bohnenblust
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Canson
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 12 Aug 2006",/event.aspx?39287,Digitaline
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 28 Jul 2006",/event.aspx?39289,Tim Sheridan
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 28 Jul 2006",/event.aspx?39289,Flavor
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 22 Jul 2006",/event.aspx?39290,Paul Lomax
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 1 Jul 2006",/event.aspx?39292,Afrilounge
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 22 Jun 2006",/event.aspx?39293,Serafin
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sun, 4 Jun 2006",/event.aspx?39295,Phonique
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 3 Jun 2006",/event.aspx?39297,Marc Romboy
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 3 Jun 2006",/event.aspx?39297,Matt Grey
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 3 Jun 2006",/event.aspx?39297,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 2 Jun 2006",/event.aspx?39296,Scarlett Etienne
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 2 Jun 2006",/event.aspx?39296,Robbie Romero
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Mon, 31 Dec 2007",/event.aspx?39241,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Mon, 31 Dec 2007",/event.aspx?39241,Disco Dave
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Mon, 31 Dec 2007",/event.aspx?39241,Bohnenblust
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 29 Dec 2007",/event.aspx?39242,2000 and One
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 29 Dec 2007",/event.aspx?39242,Don Ramon
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 29 Dec 2007",/event.aspx?39242,Gleichschritt
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 29 Dec 2007",/event.aspx?39242,Kapara
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Tue, 25 Dec 2007",/event.aspx?39244,Dennis Ferrer
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 22 Dec 2007",/event.aspx?39245,Spirit Catcher
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 22 Dec 2007",/event.aspx?39245,Gleichschritt
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 22 Dec 2007",/event.aspx?39245,Manuel Moreno
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 7 Dec 2007",/event.aspx?39246,Kerri Chandler
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 30 Nov 2007",/event.aspx?84932,Manuel Tur
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 30 Nov 2007",/event.aspx?84932,Replika
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 24 Nov 2007",/event.aspx?39249,Ripperton
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 24 Nov 2007",/event.aspx?39249,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 24 Nov 2007",/event.aspx?39249,Bohnenblust
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 3 Nov 2007",/event.aspx?39248,Daniel Stefanik
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 3 Nov 2007",/event.aspx?39248,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 1 Nov 2007",/event.aspx?39247,Bruno Pronsato
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 1 Nov 2007",/event.aspx?39247,San Marco
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Thu, 1 Nov 2007",/event.aspx?39247,Don Ramon
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 20 Oct 2007",/event.aspx?32347,Guido Schneider
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 20 Oct 2007",/event.aspx?32347,Gleichschritt
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 20 Oct 2007",/event.aspx?32347,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 20 Oct 2007",/event.aspx?32347,Kapara
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 22 Sep 2007",/event.aspx?39250,Cassy
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Fri, 31 Aug 2007",/event.aspx?29758,Jimpster
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Loco Dice
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Martin Buttrich
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Tobi Neumann
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Serafin
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Rozzo
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Reto Ardour
"Geroldstrasse 17; 8005, Zürich",5011, Supermarket,/club.aspx?id=5011,"Sat, 11 Aug 2007",/event.aspx?27450,Bohnenblust
