club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 20 Feb 2016",/event.aspx?809641,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 2 Jan 2016",/event.aspx?809638,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 2 Oct 2015",/event.aspx?762768,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 26 Sep 2015",/event.aspx?762766,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 13 Mar 2015",/event.aspx?702112,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 10 Jan 2015",/event.aspx?673131,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 2 Jan 2015",/event.aspx?673130,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 27 Dec 2014",/event.aspx?673128,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 6 Dec 2014",/event.aspx?673126,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 28 Nov 2014",/event.aspx?673124,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 7 Nov 2014",/event.aspx?673116,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 20 Sep 2014",/event.aspx?673115,Chris Ahn
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Wed, 2 Jun 2010",/event.aspx?155496,The Cruzaders
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 28 May 2010",/event.aspx?155495,The Cruzaders
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Fri, 12 Mar 2010",/event.aspx?132148,The Cruzaders
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 23 Jan 2010",/event.aspx?132145,The Cruzaders
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 2 Jan 2010",/event.aspx?136179,The Cruzaders
"Rue de Romont 29; 1007, Fribourg",22541, TM,/club.aspx?id=22541,"Sat, 28 Nov 2009",/event.aspx?124246,The Cruzaders
