club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 31 Dec 2016",/event.aspx?910350,Animal Trainer
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 12 Mar 2016",/event.aspx?808882,Darius Syrossian
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 30 Jan 2016",/event.aspx?796393,Argy
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 30 Jan 2016",/event.aspx?796393,SIS
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 14 Nov 2015",/event.aspx?766331,Santé
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 14 Nov 2015",/event.aspx?766331,Los Suruba
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 24 Oct 2015",/event.aspx?752427,Andrey Pushkarev
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 24 Oct 2015",/event.aspx?752427,Mirco Caruso
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 10 Oct 2015",/event.aspx?758287,Blond:ish
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 12 Sep 2015",/event.aspx?751058,Richy Ahmed
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 12 Sep 2015",/event.aspx?751058,Robert James
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 15 Aug 2015",/event.aspx?730235,Hector Couto
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 15 Aug 2015",/event.aspx?730235,André Hommen
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 15 Aug 2015",/event.aspx?730235,Kellerkind
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 14 Jun 2014",/event.aspx?598154,Butch
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 14 Jun 2014",/event.aspx?598154,Sons of Aoide
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 14 Jun 2014",/event.aspx?598154,Mirco Caruso
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 May 2014",/event.aspx?591600,Rodriguez Jr
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 May 2014",/event.aspx?591600,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 3 May 2014",/event.aspx?571000,Adana Twins
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 15 Mar 2014",/event.aspx?570997,Heidi
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 15 Mar 2014",/event.aspx?570997,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Tue, 31 Dec 2013",/event.aspx?543759,Lee Van Dowski
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Tue, 31 Dec 2013",/event.aspx?543759,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 30 Nov 2013",/event.aspx?542727,Round Table Knights
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 30 Nov 2013",/event.aspx?542727,Kellerkind
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 16 Nov 2013",/event.aspx?532823,Subb-an
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 16 Nov 2013",/event.aspx?532823,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 21 Sep 2013",/event.aspx?517503,Nick Curly
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 21 Sep 2013",/event.aspx?517503,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 Aug 2013",/event.aspx?506121,Animal Trainer
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 Aug 2013",/event.aspx?506121,Reto Ardour
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 Aug 2013",/event.aspx?506121,Benja
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 Aug 2013",/event.aspx?506121,Noromal
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 17 Aug 2013",/event.aspx?506121,To:Be
"Froburgstrasse 7, 4600 Olten",40377, Terminus Club,/club.aspx?id=40377,"Sat, 8 Jun 2013",/event.aspx?479865,Seth Troxler
