club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 10 Dec 2011",/event.aspx?315964,Zoe Xenia
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 10 Dec 2011",/event.aspx?315964,Vanita
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 5 Nov 2011",/event.aspx?304335,Rynecologist
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 5 Nov 2011",/event.aspx?304335,Riot School
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 21 Oct 2011",/event.aspx?302059,SCNTST
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 21 Oct 2011",/event.aspx?302059,Riot School
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 21 Oct 2011",/event.aspx?302059,K.Ramba
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 14 Oct 2011",/event.aspx?300617,Samy Demonti
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 10 Sep 2011",/event.aspx?287735,Nici Faerber
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 10 Sep 2011",/event.aspx?287735,Elvis Cassetta
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 10 Sep 2011",/event.aspx?287735,Vanita
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 29 Jul 2011",/event.aspx?275453,Sinden
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Fri, 29 Jul 2011",/event.aspx?275453,Riot School
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 14 May 2011",/event.aspx?255091,Quitim
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 14 May 2011",/event.aspx?255091,Vanita
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 14 May 2011",/event.aspx?255091,Andreas Ramos
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 26 Mar 2011",/event.aspx?239092,Ezikiel
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 26 Mar 2011",/event.aspx?239092,Joram
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 26 Mar 2011",/event.aspx?239092,Helder
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 26 Mar 2011",/event.aspx?239092,Vanita
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sat, 26 Mar 2011",/event.aspx?239092,DJ Tiago
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sun, 5 Dec 2010",/event.aspx?211732,Ezikiel
"Limmatstrasse 195; 8005, Zürich",38741, Thai Thai Club,/club.aspx?id=38741,"Sun, 5 Dec 2010",/event.aspx?211732,Joram
