club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Digitalism
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Gus Gus
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Lexy
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,The Advent
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Dapayk & Padberg
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Dusty Kid
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Heartthrob
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Einzelkind
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Green Velvet
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,DJ Rush
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Monika Kruse
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Felix Kröcher
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Moonbootica
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Raudive
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,D.I.M.
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Shonky
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Xenia Beliayeva
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Hannah Holland
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Dachshund
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Agnès
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Smilla
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Phuture Traxx
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Beda
"Förrlibuckstrasse 109; 8005, Zurich",11471, Toni Areal,/club.aspx?id=11471,"Sat, 9 Aug 2008",/event.aspx?56923,Sandro Kühne
