club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Fri, 28 Feb 2014",/event.aspx?572119,Freedom Fighters
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Fri, 1 Nov 2013",/event.aspx?528458,Spartaque
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 2 Jun 2012",/event.aspx?373892,Gayle San
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 2 Jun 2012",/event.aspx?373892,Truci
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 2 Jun 2012",/event.aspx?373892,Louca
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 4 Feb 2012",/event.aspx?328734,Citizen Kain
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 4 Feb 2012",/event.aspx?328734,Daniele Crocenzi
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Fri, 20 Jan 2012",/event.aspx?328960,Patryk Molinari
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Fri, 20 Jan 2012",/event.aspx?328960,Sandro ZH
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Marco Bailey
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Virgil Enzinger
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Antoni Bios
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Andrea Frisina
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Mihajlo
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Allen D Shac
"Schützenmattstrasse 1b, Bülach",57474, Ug Bülach,/club.aspx?id=57474,"Sat, 14 Jan 2012",/event.aspx?326085,Jamie White
