club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Fri, 23 Jul 2010",/event.aspx?174664,Fedde Le Grand
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Fri, 23 Jul 2010",/event.aspx?174664,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 10 Jul 2010",/event.aspx?174686,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 10 Jul 2010",/event.aspx?174686,Astrit Kurtaim
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 26 Jun 2010",/event.aspx?174663,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 26 Jun 2010",/event.aspx?174663,Jay Cassius
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 24 Apr 2010",/event.aspx?149407,Laidback Luke
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 24 Apr 2010",/event.aspx?149407,The Housecreamers
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 17 Dec 2011",/event.aspx?319527,Joram
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 5 Nov 2011",/event.aspx?443321,Mirco Caruso
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 5 Nov 2011",/event.aspx?443321,Dalibox
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Oct 2011",/event.aspx?301535,Boy George
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Oct 2011",/event.aspx?301535,Marc Vedo
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Oct 2011",/event.aspx?301535,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 8 Oct 2011",/event.aspx?295141,Helder
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 8 Oct 2011",/event.aspx?295141,Anish
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 24 Sep 2011",/event.aspx?288208,Mimanos
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 17 Sep 2011",/event.aspx?292684,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 17 Sep 2011",/event.aspx?292684,Dave Martins
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sun, 8 May 2011",/event.aspx?256127,Manos
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 2 Apr 2011",/event.aspx?246615,Tommy J Gren
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 12 Feb 2011",/event.aspx?229551,Dave Martins
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 5 Feb 2011",/event.aspx?225635,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 29 Jan 2011",/event.aspx?227553,Avicii
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 29 Jan 2011",/event.aspx?227553,Swiss Official
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 29 Jan 2011",/event.aspx?225634,Kenny Ground
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Jan 2011",/event.aspx?222216,Dave Martins
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Jan 2011",/event.aspx?222216,Joram
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Jan 2011",/event.aspx?222216,Helder
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 15 Jan 2011",/event.aspx?222118,Tommy J Gren
"Via Cantonale; 6595, Riazzino",27012, Vanilla Club,/club.aspx?id=27012,"Sat, 22 Dec 2012",/event.aspx?425817,EDX
