club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 2 May 2015",/event.aspx?676643,Ambivalent
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 2 May 2015",/event.aspx?676643,Magit Cacoon
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 2 May 2015",/event.aspx?676643,Smalltown Collective
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 11 Apr 2015",/event.aspx?676640,Jan Blomqvist
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 11 Apr 2015",/event.aspx?676640,Anthik
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 11 Apr 2015",/event.aspx?676640,ME & her
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 7 Mar 2015",/event.aspx?670651,KlangKuenstler
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 7 Mar 2015",/event.aspx?670651,Anthik
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 7 Mar 2015",/event.aspx?670651,Chino
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 31 Dec 2014",/event.aspx?633361,Yapacc
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 31 Dec 2014",/event.aspx?633361,Kellerkind
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 31 Dec 2014",/event.aspx?633361,Dandy Jack
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 31 Dec 2014",/event.aspx?633361,Anthik
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 31 Dec 2014",/event.aspx?633361,Adrian Martin
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 29 Nov 2014",/event.aspx?633349,Rico Rausch
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 29 Nov 2014",/event.aspx?633349,Luna City Express
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 25 Oct 2014",/event.aspx?626074,Der Dritte Raum
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 25 Oct 2014",/event.aspx?626074,Jon Donson
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 27 Sep 2014",/event.aspx?619967,Re-UP
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 27 Sep 2014",/event.aspx?619967,Anthik
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 28 May 2014",/event.aspx?583542,tINI
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 28 May 2014",/event.aspx?583542,Bella Sarris
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Wed, 28 May 2014",/event.aspx?583542,James Mc Hale
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 26 Apr 2014",/event.aspx?573085,Der Dritte Raum
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 26 Apr 2014",/event.aspx?573085,Kellerkind
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 29 Mar 2014",/event.aspx?568390,Kellerkind
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 29 Mar 2014",/event.aspx?568390,Luca Torre
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 29 Mar 2014",/event.aspx?568390,Smalltown Collective
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 8 Mar 2014",/event.aspx?563673,Format:B
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 8 Mar 2014",/event.aspx?563673,Lucas Monème
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 8 Mar 2014",/event.aspx?563673,Rico Rausch
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 8 Mar 2014",/event.aspx?563673,Das Balz
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Tue, 31 Dec 2013",/event.aspx?534264,Jens Bond
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Tue, 31 Dec 2013",/event.aspx?534264,Daniel Dreier
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Tue, 31 Dec 2013",/event.aspx?534264,Luca Torre
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Tue, 31 Dec 2013",/event.aspx?534264,Adrian Martin
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Fri, 6 Dec 2013",/event.aspx?525739,Tiefschwarz
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Fri, 6 Dec 2013",/event.aspx?525739,James Mc Hale
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Fri, 6 Dec 2013",/event.aspx?525739,Jan Penarrubia
"Spinnereiweg 17; 3004, Bern",5797, Via Felsenau Club,/club.aspx?id=5797,"Sat, 30 Nov 2013",/event.aspx?525736,Format:B
