club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Praslesh
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Raresh
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Praslea
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Sandro Kuhne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Gianni Callipari
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Alci
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Trinkler
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,Flavio (CH)
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 30 Oct 2016",/event.aspx?868410,James Mc Hale
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Cabanne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Fumiya Tanaka
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Sandro Kuhne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Trinkler
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Flavio (CH)
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 24 Apr 2016",/event.aspx?823499,Dejan
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Shonky
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Seuil
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Ferro
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Sandro Kühne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Rozzo
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Alci
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Mar 2016",/event.aspx?810592,Nicola Kazimir
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Cassy
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Sonodab
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Eli Verveine
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Gianni Callipari
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Alci
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 28 Feb 2016",/event.aspx?800382,Trinkler
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,tINI
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,Luke Miskelly
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,Sandro Kuhne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,Dejan
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,Flavio (CH)
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 31 Jan 2016",/event.aspx?792827,Rogi
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Onur Özer
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Mara Trax
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Vera
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Maayan Nidam
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Barac
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Sandro Kuhne
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Gianni Callipari
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Alci
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Nicola Kazimir
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Barbir
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,Flavio (CH)
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 27 Dec 2015",/event.aspx?776904,James Mc Hale
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 29 Nov 2015",/event.aspx?768949,Zip
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 29 Nov 2015",/event.aspx?768949,Sonja Moonear
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 29 Nov 2015",/event.aspx?768949,Francesco Del Garda
"Löwenstrasse 2, 8001 Zürich",89860, Vior,/club.aspx?id=89860,"Sun, 29 Nov 2015",/event.aspx?768949,Lowris
