club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Fri, 27 May 2016",/event.aspx?844152,Adana Twins
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Fri, 27 May 2016",/event.aspx?844152,Anthik
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 31 Oct 2015",/event.aspx?844553,Michel Cleis
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 31 Oct 2015",/event.aspx?844553,Ernesto Ferreyra
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 31 Oct 2015",/event.aspx?844553,Ezikiel
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 31 Oct 2015",/event.aspx?844553,James Mc Hale
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 31 Oct 2015",/event.aspx?844553,Robel
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 25 Jan 2014",/event.aspx?558169,Andrea Oliva
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 25 Jan 2014",/event.aspx?558169,DJ Le Roi
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 25 Jan 2014",/event.aspx?558169,Tremendo
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 25 Jan 2014",/event.aspx?558169,Ragu
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 25 Jan 2014",/event.aspx?558169,Soner
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 9 Mar 2013",/event.aspx?457658,Tremendo
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 17 Mar 2012",/event.aspx?343203,Kellerkind
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 17 Mar 2012",/event.aspx?343203,Adriatique
"Rossmarktpl. 2, 4500 Solothurn",59822, Volkshaus Solothurn,/club.aspx?id=59822,"Sat, 17 Mar 2012",/event.aspx?343203,Robel
