club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Sun, 12 Mar 2017",/event.aspx?898625,Bonobo
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Sat, 5 Apr 2014",/event.aspx?545639,Marek Hemmann
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Sat, 5 Apr 2014",/event.aspx?545639,Dejan
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Fri, 15 Nov 2013",/event.aspx?523632,Trentemoller
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Fri, 10 Jun 2011",/event.aspx?252933,Juanjo Martin
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 22 Dec 2010",/event.aspx?216609,2 Many DJs
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 22 Dec 2010",/event.aspx?216609,Soulwax
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 22 Dec 2010",/event.aspx?216609,Erol Alkan
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 22 Dec 2010",/event.aspx?216609,Goose
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 22 Dec 2010",/event.aspx?216609,Mixhell
"Stauffacherstrasse 60; 8004, Zürich",21639, Volkshaus Zürich,/club.aspx?id=21639,"Wed, 3 Feb 2010",/event.aspx?127326,Air
