club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 16 Dec 2016",/event.aspx?910052,tINI
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 2 Dec 2016",/event.aspx?902514,Onur Ozer
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 2 Dec 2016",/event.aspx?902514,And.rea
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 2 Dec 2016",/event.aspx?902514,Mirko Molinari
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 22 Oct 2016",/event.aspx?890308,Jamie Jones
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 29 Apr 2016",/event.aspx?831009,wAFF
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 11 Mar 2016",/event.aspx?811535,Alexander Cherry
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 26 Feb 2016",/event.aspx?807172,Louie Vega
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 31 May 2014",/event.aspx?836161,James Mc Hale
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 8 Feb 2014",/event.aspx?562514,Stefano Ritteri
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 27 Dec 2013",/event.aspx?551187,Specialivery
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Fri, 27 Dec 2013",/event.aspx?551187,Mess Me
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 7 Dec 2013",/event.aspx?545213,Franky Rizardo
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 7 Dec 2013",/event.aspx?545213,Maxxi Soundsystem
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 26 Oct 2013",/event.aspx?509701,Noir
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Sat, 26 Oct 2013",/event.aspx?509701,Sam Divine
Via Trevano 56 6900 Lugano,82109, WKND,/club.aspx?id=82109,"Tue, 3 Sep 2013",/event.aspx?516052,Sam Divine
