club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Thu, 1 Aug 2013",/event.aspx?506205,Madnax
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Sat, 2 Mar 2013",/event.aspx?451979,Robert Owens
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Sat, 2 Mar 2013",/event.aspx?451979,André Lodemann
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Sat, 2 Mar 2013",/event.aspx?451979,Eric Borgo
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Mon, 31 Dec 2012",/event.aspx?432392,Stacey Pullen
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Mon, 31 Dec 2012",/event.aspx?432392,Kadebostan
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Mon, 31 Dec 2012",/event.aspx?432392,Laolu
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Mon, 31 Dec 2012",/event.aspx?432392,DJ Fab
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Thu, 30 Aug 2012",/event.aspx?395597,G!L Everest
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Mon, 1 Aug 2011",/event.aspx?279466,G!L Everest
"Avenue E.-Jaques Dalcroze 9; 1007, Lausanne",49804, Watergate,/club.aspx?id=49804,"Fri, 15 Jul 2011",/event.aspx?276522,G!L Everest
