club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 25 Feb 2012",/event.aspx?341146,Giuseppe Visciano
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 25 Feb 2012",/event.aspx?341146,Doublewave
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 28 Jan 2012",/event.aspx?328447,Marika Rossa
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Fri, 25 Feb 2011",/event.aspx?230151,David Faust
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Fri, 25 Feb 2011",/event.aspx?230151,Adriatique
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Fri, 25 Feb 2011",/event.aspx?230151,Quitim
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 22 Jan 2011",/event.aspx?197248,Dr. Motte
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 22 Jan 2011",/event.aspx?197248,Henning Richter
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 22 Jan 2011",/event.aspx?197248,Vanita
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Sandro Kühne
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Reto Ardour
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Andri
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Regenbogen
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Quitim
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Adriatique
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Benja
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?166651,Dominik Auderset
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?170051,Eff&lle;
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?170051,Reto Ardour
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 29 May 2010",/event.aspx?170051,Barbir
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Antoni Bios
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Alfonso Forte
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Regenbogen
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Sandro Kühne
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Reto Ardour
"Albulastrasse 40; 8048, Zurich",30175, Xces,/club.aspx?id=30175,"Sat, 15 May 2010",/event.aspx?166562,Quitim
