name,day,month,year,ville,festival
THE NOTWIST,28,Juin,2012,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
THE INSPECTOR CLUZO (TIC),07,Juil.,2012,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
ANTOINE CHESSEX,28,Juin,2011,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
KLINGT ORGESTRA,24,Juin,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
OLIVIER NUSSBAUM,25,Juin,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
DJ FETT,26,Juin,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
TAREK ATOUI,30,Juin,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
DJ LYNDA REVOL,30,Juin,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
DJ CUT ME SHOW,02,Juil.,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
REGGIE WATTS,03,Juil.,2010,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
MODIFIED TOY ORCHESTRA,26,Juin,2009,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
ANDRE DURACELL,30,Juin,2009,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
CHROME HOOF,04,Juil.,2009,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
WIENER GEMUSE ORCHESTER,27,Juin,2008,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
BONAPARTE,05,Juil.,2008,Fribourg,BELLUARD BOLLWERK INTERNATIONAL
