name,day,month,year,ville,festival
MARCO CAROLA,06,Avr.,2017,Crans Montana,CAPRICES
LEON,06,Avr.,2017,Crans Montana,CAPRICES
MARCO FARAONE,06,Avr.,2017,Crans Montana,CAPRICES
PACO OSUNA,06,Avr.,2017,Crans Montana,CAPRICES
JAMIE JONES,07,Avr.,2017,Crans Montana,CAPRICES
THE MARTINEZ BROTHERS,07,Avr.,2017,Crans Montana,CAPRICES
JOHN TALABOT,08,Avr.,2017,Crans Montana,CAPRICES
MARCEL DETTMANN,08,Avr.,2017,Crans Montana,CAPRICES
RICARDO VILLALOBOS,08,Avr.,2017,Crans Montana,CAPRICES
AXEL BOMAN,08,Avr.,2017,Crans Montana,CAPRICES
MANO LE TOUGH,08,Avr.,2017,Crans Montana,CAPRICES
BEN KLOCK,08,Avr.,2017,Crans Montana,CAPRICES
SETH TROXLER,08,Avr.,2017,Crans Montana,CAPRICES
SVEN VATH,09,Avr.,2017,Crans Montana,CAPRICES
TINI (DJ),09,Avr.,2017,Crans Montana,CAPRICES
