name,day,month,year,ville,festival
ODDISEE,31,Mar.,2017,Cully,CULLY JAZZ
LES AMAZONES D'AFRIQUE,31,Mar.,2017,Cully,CULLY JAZZ
ALSARAH,31,Mar.,2017,Cully,CULLY JAZZ
LARS DANIELSSON,31,Mar.,2017,Cully,CULLY JAZZ
GUILLAUME PERRET,01,Avr.,2017,Cully,CULLY JAZZ
HEIRI KANZIG,01,Avr.,2017,Cully,CULLY JAZZ
FRANCOIS LINDEMANN,01,Avr.,2017,Cully,CULLY JAZZ
TONY ALLEN,01,Avr.,2017,Cully,CULLY JAZZ
AVISHAI COHEN (contrebasse),01,Avr.,2017,Cully,CULLY JAZZ
KALA JULA (SAMBA DIABATE ET VINCENT ZANETTI),01,Avr.,2017,Cully,CULLY JAZZ
QUARTETO GARDEL,02,Avr.,2017,Cully,CULLY JAZZ
LIONEL SUAREZ,02,Avr.,2017,Cully,CULLY JAZZ
AUTOUR DE CHET,02,Avr.,2017,Cully,CULLY JAZZ
BLICK BASSY,02,Avr.,2017,Cully,CULLY JAZZ
AVISHAI COHEN (contrebasse),02,Avr.,2017,Cully,CULLY JAZZ
HUGH COLTMAN,03,Avr.,2017,Cully,CULLY JAZZ
ERIC LEGNINI,03,Avr.,2017,Cully,CULLY JAZZ
MATTHIEU MICHEL,03,Avr.,2017,Cully,CULLY JAZZ
PAOLO FRESU,03,Avr.,2017,Cully,CULLY JAZZ
TIGRAN HAMASYAN,03,Avr.,2017,Cully,CULLY JAZZ
AMINE & HAMZA M'RAHI,04,Avr.,2017,Cully,CULLY JAZZ
VINCENT PEIRANI,04,Avr.,2017,Cully,CULLY JAZZ
CRAIG TABORN,04,Avr.,2017,Cully,CULLY JAZZ
MCCOY TYNER,04,Avr.,2017,Cully,CULLY JAZZ
COLIN VALLON,04,Avr.,2017,Cully,CULLY JAZZ
GERI ALLEN,04,Avr.,2017,Cully,CULLY JAZZ
LEYLA MC CALLA,04,Avr.,2017,Cully,CULLY JAZZ
AMINE & HAMZA M'RAHI,05,Avr.,2017,Cully,CULLY JAZZ
MILES MOSLEY,05,Avr.,2017,Cully,CULLY JAZZ
MANDEKAN CUBANO,05,Avr.,2017,Cully,CULLY JAZZ
HENRI TEXIER,05,Avr.,2017,Cully,CULLY JAZZ
RICHARD BONA,05,Avr.,2017,Cully,CULLY JAZZ
CARLES BENAVENT,05,Avr.,2017,Cully,CULLY JAZZ
MEDUOTERAN,05,Avr.,2017,Cully,CULLY JAZZ
OMAR,06,Avr.,2017,Cully,CULLY JAZZ
SEUN KUTI,06,Avr.,2017,Cully,CULLY JAZZ
MULATU ASTATKE,06,Avr.,2017,Cully,CULLY JAZZ
JOHN MEDESKI,06,Avr.,2017,Cully,CULLY JAZZ
CHRISTIAN SCOTT,07,Avr.,2017,Cully,CULLY JAZZ
BIG DADDY WILSON,07,Avr.,2017,Cully,CULLY JAZZ
FINK,07,Avr.,2017,Cully,CULLY JAZZ
PIERS FACCINI,08,Avr.,2017,Cully,CULLY JAZZ
BEN L'ONCLE SOUL,08,Avr.,2017,Cully,CULLY JAZZ
