name,day,month,year,ville,festival
BOYS NOIZE,02,Avr.,2015,Geneve,ELECTRON
JOHN TALABOT,03,Avr.,2015,Geneve,ELECTRON
SQUARE PUSHER,04,Avr.,2015,Geneve,ELECTRON
SBTRKT,05,Avr.,2015,Geneve,ELECTRON
ATARI TEENAGE RIOT,28,Mar.,2013,Geneve,ELECTRON
CALYX,28,Mar.,2013,Geneve,ELECTRON
GUI BORATTO,28,Mar.,2013,Geneve,ELECTRON
PSYBERPUNK,28,Mar.,2013,Geneve,ELECTRON
TROJAN SOUND SYSTEM,28,Mar.,2013,Geneve,ELECTRON
MADFUNK,28,Mar.,2013,Geneve,ELECTRON
RONE,29,Mar.,2013,Geneve,ELECTRON
DERRICK CARTER,29,Mar.,2013,Geneve,ELECTRON
CLOCK OPERA,29,Mar.,2013,Geneve,ELECTRON
EGYPTOLOGY,29,Mar.,2013,Geneve,ELECTRON
THEE MAJESTY,29,Mar.,2013,Geneve,ELECTRON
KAS PRODUCT,29,Mar.,2013,Geneve,ELECTRON
THE BUG,29,Mar.,2013,Geneve,ELECTRON
DJ CROWDPLEASER,29,Mar.,2013,Geneve,ELECTRON
JETS,30,Mar.,2013,Geneve,ELECTRON
SHACKLETON,30,Mar.,2013,Geneve,ELECTRON
TIGA,30,Mar.,2013,Geneve,ELECTRON
SOGAR,30,Mar.,2013,Geneve,ELECTRON
THEO PARRISH,30,Mar.,2013,Geneve,ELECTRON
OBF,30,Mar.,2013,Geneve,ELECTRON
MYAH,30,Mar.,2013,Geneve,ELECTRON
ROBERT ROCCOBELLY,31,Mar.,2013,Geneve,ELECTRON
PHIL QUENUM,31,Mar.,2013,Geneve,ELECTRON
STEREO HYPNOSIS,31,Mar.,2013,Geneve,ELECTRON
KANGDING RAY,05,Avr.,2012,Geneve,ELECTRON
GOTH TRAD,05,Avr.,2012,Geneve,ELECTRON
DJANGO DJANGO,05,Avr.,2012,Geneve,ELECTRON
DRUMATIK,05,Avr.,2012,Geneve,ELECTRON
CHIEF,06,Avr.,2012,Geneve,ELECTRON
LIGHTYEAR,06,Avr.,2012,Geneve,ELECTRON
OPUSWERK,06,Avr.,2012,Geneve,ELECTRON
MIK IZIF,06,Avr.,2012,Geneve,ELECTRON
SCRATCH MASSIVE,06,Avr.,2012,Geneve,ELECTRON
BRANDT BRAUER FRICK,07,Avr.,2012,Geneve,ELECTRON
SONJA MOONEAR,07,Avr.,2012,Geneve,ELECTRON
RICO (OBF),07,Avr.,2012,Geneve,ELECTRON
TREVOR JACKSON,07,Avr.,2012,Geneve,ELECTRON
DJ VINCZ LEE,07,Avr.,2012,Geneve,ELECTRON
YANG TAO,07,Avr.,2012,Geneve,ELECTRON
CHRISTINE GROULT,07,Avr.,2012,Geneve,ELECTRON
SACRED SELECTIONS -MATT STOKES,07,Avr.,2012,Geneve,ELECTRON
KONONO N°1,08,Avr.,2012,Geneve,ELECTRON
MARTYN,08,Avr.,2012,Geneve,ELECTRON
DJ COBEIA,08,Avr.,2012,Geneve,ELECTRON
NITZER EBB,21,Avr.,2011,Geneve,ELECTRON
YAN!,21,Avr.,2011,Geneve,ELECTRON
FLORENT MATHON,21,Avr.,2011,Geneve,ELECTRON
LOEFAH,21,Avr.,2011,Geneve,ELECTRON
NIKOLAS NEECKE,21,Avr.,2011,Geneve,ELECTRON
DC BREAKS,22,Avr.,2011,Geneve,ELECTRON
TWO LEFT EARS,22,Avr.,2011,Geneve,ELECTRON
"RYOJI IKEDA / ""SUPERPOSITION""",22,Avr.,2011,Geneve,ELECTRON
COSMIC BASTARDS,22,Avr.,2011,Geneve,ELECTRON
BEARDYMAN,23,Avr.,2011,Geneve,ELECTRON
DRADIS & BUCK CHERRY,23,Avr.,2011,Geneve,ELECTRON
MONDKOPF,23,Avr.,2011,Geneve,ELECTRON
BORN BJORG,23,Avr.,2011,Geneve,ELECTRON
CARTER TUTTI,23,Avr.,2011,Geneve,ELECTRON
COLUMN ONE,23,Avr.,2011,Geneve,ELECTRON
ISOLEE,24,Avr.,2011,Geneve,ELECTRON
MORITZ VON OSWALD,24,Avr.,2011,Geneve,ELECTRON
MIXHELL,01,Avr.,2010,Geneve,ELECTRON
BRODINSKI,01,Avr.,2010,Geneve,ELECTRON
RENAISSANCE MAN,02,Avr.,2010,Geneve,ELECTRON
GREEN VELVET,02,Avr.,2010,Geneve,ELECTRON
VLADISLAV DELAY,02,Avr.,2010,Geneve,ELECTRON
KALABRESE AND THE RUMPELORCHESTRA,02,Avr.,2010,Geneve,ELECTRON
CLAUDE VONSTROKE,03,Avr.,2010,Geneve,ELECTRON
ALVA NOTO aka CARSTEN NICOLAI,03,Avr.,2010,Geneve,ELECTRON
CHATON,03,Avr.,2010,Geneve,ELECTRON
ABE DUQUE,04,Avr.,2010,Geneve,ELECTRON
RICO TUBBS,09,Avr.,2009,Geneve,ELECTRON
2 MANY DJ'S,09,Avr.,2009,Geneve,ELECTRON
SALLY DOHERTY,09,Avr.,2009,Geneve,ELECTRON
AGORIA,10,Avr.,2009,Geneve,ELECTRON
DJ MEHDI,10,Avr.,2009,Geneve,ELECTRON
HELIOCENTRICS,10,Avr.,2009,Geneve,ELECTRON
MR SCRUFF,10,Avr.,2009,Geneve,ELECTRON
DJ CHLOE,11,Avr.,2009,Geneve,ELECTRON
MODESELEKTOR,11,Avr.,2009,Geneve,ELECTRON
NATIS,11,Avr.,2009,Geneve,ELECTRON
PRINS THOMAS,12,Avr.,2009,Geneve,ELECTRON
AUTECHRE,20,Mar.,2008,Geneve,ELECTRON
ROUND TABLE KNIGHTS,20,Mar.,2008,Geneve,ELECTRON
MOCHIPET,20,Mar.,2008,Geneve,ELECTRON
LUKE VIBERT,20,Mar.,2008,Geneve,ELECTRON
SPITZER,20,Mar.,2008,Geneve,ELECTRON
BITCHEE BITCHEE YA YA YA,20,Mar.,2008,Geneve,ELECTRON
RUBIN STEINER,20,Mar.,2008,Geneve,ELECTRON
PILOOSKI,20,Mar.,2008,Geneve,ELECTRON
MISSILL,20,Mar.,2008,Geneve,ELECTRON
GRETA GRATOS,20,Mar.,2008,Geneve,ELECTRON
SEBASTIEN TELLIER,20,Mar.,2008,Geneve,ELECTRON
DOP,21,Mar.,2008,Geneve,ELECTRON
NILS,21,Mar.,2008,Geneve,ELECTRON
DON RIMINI,21,Mar.,2008,Geneve,ELECTRON
KATE WAX aka AISHA DEVI,21,Mar.,2008,Geneve,ELECTRON
EMPATYSM,21,Mar.,2008,Geneve,ELECTRON
THE QEMISTS,21,Mar.,2008,Geneve,ELECTRON
LOSOUL,21,Mar.,2008,Geneve,ELECTRON
AUTOKRATZ,21,Mar.,2008,Geneve,ELECTRON
FAST FORWARD,21,Mar.,2008,Geneve,ELECTRON
MACKIE,22,Mar.,2008,Geneve,ELECTRON
ALPHA & OMEGA,22,Mar.,2008,Geneve,ELECTRON
VINCENT LEMIEUX,22,Mar.,2008,Geneve,ELECTRON
ROTATOR,22,Mar.,2008,Geneve,ELECTRON
KODE 9,22,Mar.,2008,Geneve,ELECTRON
PRINCESS SUPERSTAR,22,Mar.,2008,Geneve,ELECTRON
IMPROVISATORS DUB,22,Mar.,2008,Geneve,ELECTRON
MANU LE MALIN (aka THE DRIVER),22,Mar.,2008,Geneve,ELECTRON
DAEDELUS,22,Mar.,2008,Geneve,ELECTRON
THE GEORGES HABITBOL BROTHERS,22,Mar.,2008,Geneve,ELECTRON
RADIOCLIT,22,Mar.,2008,Geneve,ELECTRON
KID ROLEX,22,Mar.,2008,Geneve,ELECTRON
PAN SONIC,22,Mar.,2008,Geneve,ELECTRON
