name,day,month,year,ville,festival
JOHN ADAMS,02,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BORIS CHARMATZ,02,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
A LOVE FROM OUTER SPACE,02,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
GUILHERME BOTELHO,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LUBOMYR MELNYK,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LISBETH GRUWEZ,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BORIS CHARMATZ,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
JACQUES,03,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
THOMAS HAUERT,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
GUILHERME BOTELHO,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
EVELINE MURENBEELD,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
OMAR ABUSAADA,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LISBETH GRUWEZ,04,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,05,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
OMAR ABUSAADA,05,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
GUILHERME BOTELHO,05,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAT POWER,05,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
EVELINE MURENBEELD,05,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,06,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
EVELINE MURENBEELD,06,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,06,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CHRISTIAN RIZZO,06,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BEAK >,06,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BERTRAND BOSSARD,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
THOMAS HAUERT,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
EVELINE MURENBEELD,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
PABLO LARRAIN,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MIKE SIMONETTI,07,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BERTRAND BOSSARD,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
EDH,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
THOMAS HAUERT,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
PABLO LARRAIN,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CHARLIE CUNNINGHAM,08,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MARIE CAROLINE HOMINAL,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BERTRAND BOSSARD,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LAURENCE YADI,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
PEACHES,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
DIMITRI DE PERROT,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MAMIKO MOTTO,09,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BERTRAND BOSSARD,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
POL,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LAURENCE YADI,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MILO RAU,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
POL,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
RACHID OURAMDANE,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
DIMITRI DE PERROT,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
"RYOJI IKEDA / ""SUPERPOSITION""",10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
KATE WAX aka AISHA DEVI,10,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
BERTRAND BOSSARD,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
POL,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
POL,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MILO RAU,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
POL,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
NICOLAS CANTILLON,11,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
LAURENCE YADI,12,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MILO RAU,12,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAT'S EYES,12,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CECILIA BENGOLEA,12,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
CAROLINE BERGVALL,13,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
MIOSSEC,13,Sep.,2016,Geneve,FESTIVAL DE LA BATIE
