name,day,month,year,ville,festival
RICHARD GALLIANO,20,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
NILS LANDGREN,21,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
KENNY GARRETT,22,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
MARIUS NESET,24,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
MARTIN TINGVALL,27,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
ANDREAS SCHAERER,28,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
MARIA JOAO,29,Avr.,2016,Bale (Basel),JAZZFESTIVAL BASEL
PAOLO FRESU,03,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
CHUCHO VALDES,06,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
MICHAEL WOLLNY,07,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
BUGGE WESSELTOFT,07,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
ED MOTTA,08,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
DEE DEE BRIDGEWATER,10,Mai,2016,Bale (Basel),JAZZFESTIVAL BASEL
EST ESBJORN SVENSSON,16,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
YARON HERMAN,17,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
DINO SALUZZI,19,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
STANLEY CLARKE,20,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
TILL BRONNER,21,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
ANOUAR BRAHEM,22,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
MARC PERRENOUD,23,Avr.,2015,Bale (Basel),JAZZFESTIVAL BASEL
BRANFORD MARSALIS,19,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
CHANO DOMINGUEZ,20,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
MADELEINE PEYROUX,21,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
VEIN,22,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
CRISTINA BRANCO,22,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
LARS DANIELSSON,23,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
ALEFA TRIO,24,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
JOHN ABERCROMBIE,25,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
ROBERTO GATTO,26,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
ROBERTO FONSECA,28,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
GEORGE GRUNTZ,30,Avr.,2012,Bale (Basel),JAZZFESTIVAL BASEL
TRILOK GURTU,02,Mai,2012,Bale (Basel),JAZZFESTIVAL BASEL
LISETTE SPINNLER,03,Mai,2012,Bale (Basel),JAZZFESTIVAL BASEL
"MEDESKI, MARTIN & WOOD",04,Mai,2012,Bale (Basel),JAZZFESTIVAL BASEL
AMADOU ET MARIAM,05,Mai,2012,Bale (Basel),JAZZFESTIVAL BASEL
RICHARD GALLIANO,06,Mai,2012,Bale (Basel),JAZZFESTIVAL BASEL
GEORGE GRUNTZ,30,Avr.,2011,Bale (Basel),JAZZFESTIVAL BASEL
NIGEL KENNEDY,01,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
COLIN VALLON,02,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
FRANCOIS COUTURIER,03,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
BOBO STENSON,04,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
TOBIAS PREISIG,05,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
SCOTT COLLEY,06,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
ROSARIO GIULIANI,07,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
RENAUD GARCIA FONS,08,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
RAUL MIDON,09,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
MICHELE RABBIA,10,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
INCOGNITO,10,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
TILL BRONNER,12,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
BOBBY MC FERRIN,13,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
MATTHIEU MICHEL,16,Mai,2011,Bale (Basel),JAZZFESTIVAL BASEL
RICHARD GALLIANO,21,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
GORAN BREGOVIC,22,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
FUNK OFF,24,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
ANOUAR BRAHEM,24,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
THIERRY LANG,25,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
MICHAEL WOLLNY,25,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
KURT ROSENWINKEL,26,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
MARCIN WASILEWSKI,27,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
VEIN,28,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
NILS PETTER MOLVAER,29,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
MARC RIBOT,30,Avr.,2010,Bale (Basel),JAZZFESTIVAL BASEL
RIGMOR GUSTAFSSON,01,Mai,2010,Bale (Basel),JAZZFESTIVAL BASEL
MATHIEU MICHEL,02,Mai,2010,Bale (Basel),JAZZFESTIVAL BASEL
PACO DE LUCIA,02,Mai,2010,Bale (Basel),JAZZFESTIVAL BASEL
VIKTORIA TOLSTOY,19,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
STACEY KENT,20,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
STEFAN RUSCONI,21,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
MICHAEL WOLLNY,22,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
JAN LUNDGREN,23,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
DOMENIC LANDOLF,24,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
NAT SU,24,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
ALY KEITA,26,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
ALDO ROMANO,27,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
INCOGNITO,28,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
NIK BARTSCH'S,29,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
ROSARIO GIULIANI,30,Avr.,2009,Bale (Basel),JAZZFESTIVAL BASEL
PHILIP CATHERINE,01,Mai,2009,Bale (Basel),JAZZFESTIVAL BASEL
TAMBOURS DE BRAZZA,02,Mai,2009,Bale (Basel),JAZZFESTIVAL BASEL
GERARDO NUNEZ,03,Mai,2009,Bale (Basel),JAZZFESTIVAL BASEL
RANDY WESTON,18,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
ANDY SCHERRER,19,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
BILL CARROTHERS,19,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
TORD GUSTAVSEN,20,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
ANGELIQUE KIDJO,20,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
MARC BUKHALTER,21,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
KASPAR EWALD'S,21,Avr.,2008,Bale (Basel),JAZZFESTIVAL BASEL
