name,day,month,year,ville,festival
ANTIPODS,18,Fev.,2016,Nyon,LES HIVERNALES A NYON
FISHBACH,19,Fev.,2016,Nyon,LES HIVERNALES A NYON
SUMO,19,Fev.,2016,Nyon,LES HIVERNALES A NYON
PUTS MARIE,19,Fev.,2016,Nyon,LES HIVERNALES A NYON
ONYX,19,Fev.,2016,Nyon,LES HIVERNALES A NYON
MADDAM,20,Fev.,2016,Nyon,LES HIVERNALES A NYON
ELYNN THE GREEN,20,Fev.,2016,Nyon,LES HIVERNALES A NYON
ETIENNE DE CRECY,20,Fev.,2016,Nyon,LES HIVERNALES A NYON
JABBERWOCKY,20,Fev.,2016,Nyon,LES HIVERNALES A NYON
TOM FIRE,20,Fev.,2016,Nyon,LES HIVERNALES A NYON
SPEEDRAX,21,Fev.,2016,Nyon,LES HIVERNALES A NYON
THE RAMBLING WHEELS,26,Fev.,2015,Nyon,LES HIVERNALES A NYON
THE KREEKS,26,Fev.,2015,Nyon,LES HIVERNALES A NYON
LADY BAZAAR,26,Fev.,2015,Nyon,LES HIVERNALES A NYON
SPEEDRAX,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
TALISCO,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
MARIE FLORE,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
SALUT C'EST COOL,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
ERUDHYTE,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
TRANSISTOR GIRL,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
DEAR DEER,27,Fev.,2015,Nyon,LES HIVERNALES A NYON
PARTY KILLERS,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
PEACE,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
ROBBING MILLIONS,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
DOPE DOD,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
CHEYENNE,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
NIKIMIX,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
DJ REAS,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
DJEREM,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
THE TWO,28,Fev.,2015,Nyon,LES HIVERNALES A NYON
ALKALINES,01,Mar.,2015,Nyon,LES HIVERNALES A NYON
ALICE LEWIS,27,Fev.,2014,Nyon,LES HIVERNALES A NYON
WE ARE EMMETT BROWN,27,Fev.,2014,Nyon,LES HIVERNALES A NYON
PROFILE,27,Fev.,2014,Nyon,LES HIVERNALES A NYON
DAVE ROWNTREE,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
CASCADEUR,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
OPALKA,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
THE ANIMEN,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
RANDOM GOD,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
MLK (MALIK FEKRANE),28,Fev.,2014,Nyon,LES HIVERNALES A NYON
CATE LE BON,28,Fev.,2014,Nyon,LES HIVERNALES A NYON
MARC BENJAMIN,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
AUFGANG,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
JAILYNA,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
TWEEK,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
THE SEPTIZ,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
SHAZAM BELL,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
BABA SHRIMPS,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
DJ DOO GOOD,01,Mar.,2014,Nyon,LES HIVERNALES A NYON
