name,day,month,year,ville,festival
GIANNA NANNINI,03,Juil.,2015,Zurich,LIVE AT SUNSET
PATENT OCHSNER,04,Juil.,2015,Zurich,LIVE AT SUNSET
REA GARVEY,05,Juil.,2015,Zurich,LIVE AT SUNSET
LIONEL RICHIE,07,Juil.,2015,Zurich,LIVE AT SUNSET
TOM ODELL,08,Juil.,2015,Zurich,LIVE AT SUNSET
ZZ TOP,09,Juil.,2015,Zurich,LIVE AT SUNSET
JOHN LEGEND,10,Juil.,2015,Zurich,LIVE AT SUNSET
ROXETTE,11,Juil.,2015,Zurich,LIVE AT SUNSET
LINDSEY STIRLING,16,Juil.,2015,Zurich,LIVE AT SUNSET
ANASTACIA,17,Juil.,2015,Zurich,LIVE AT SUNSET
XAVIER NAIDOO,19,Juil.,2015,Zurich,LIVE AT SUNSET
ROBERT PLANT & THE SENSATIONAL SPACE SHIFTERS,09,Juil.,2014,Zurich,LIVE AT SUNSET
RODRIGO Y GABRIELA,10,Juil.,2014,Zurich,LIVE AT SUNSET
MILOW,11,Juil.,2014,Zurich,LIVE AT SUNSET
JAMIE CULLUM,12,Juil.,2014,Zurich,LIVE AT SUNSET
TEXAS,13,Juil.,2014,Zurich,LIVE AT SUNSET
PET SHOP BOYS,14,Juil.,2014,Zurich,LIVE AT SUNSET
JAMES ARTHUR,15,Juil.,2014,Zurich,LIVE AT SUNSET
ROGER CICERO,16,Juil.,2014,Zurich,LIVE AT SUNSET
BACKSTREET BOYS,17,Juil.,2014,Zurich,LIVE AT SUNSET
RITSCHI,18,Juil.,2014,Zurich,LIVE AT SUNSET
PHILIPP FANKHAUSER,19,Juil.,2014,Zurich,LIVE AT SUNSET
STEPHAN EICHER,10,Juil.,2013,Zurich,LIVE AT SUNSET
BRYAN ADAMS,11,Juil.,2013,Zurich,LIVE AT SUNSET
NATALIE COLE,12,Juil.,2013,Zurich,LIVE AT SUNSET
KENNY ROGERS,13,Juil.,2013,Zurich,LIVE AT SUNSET
HUGH LAURIE,14,Juil.,2013,Zurich,LIVE AT SUNSET
DEEP PURPLE,15,Juil.,2013,Zurich,LIVE AT SUNSET
EARTH WIND & FIRE,16,Juil.,2013,Zurich,LIVE AT SUNSET
NENA,17,Juil.,2013,Zurich,LIVE AT SUNSET
HELGE SCHNEIDER,18,Juil.,2013,Zurich,LIVE AT SUNSET
STING,19,Juil.,2013,Zurich,LIVE AT SUNSET
MARK KNOPFLER,20,Juil.,2013,Zurich,LIVE AT SUNSET
GIANNA NANNINI,21,Juil.,2013,Zurich,LIVE AT SUNSET
BB KING,11,Juil.,2012,Zurich,LIVE AT SUNSET
CARO EMERALD,12,Juil.,2012,Zurich,LIVE AT SUNSET
ELTON JOHN,13,Juil.,2012,Zurich,LIVE AT SUNSET
LOREENA MCKENNITT,14,Juil.,2012,Zurich,LIVE AT SUNSET
MORCHEEBA,15,Juil.,2012,Zurich,LIVE AT SUNSET
ALANIS MORISSETTE,16,Juil.,2012,Zurich,LIVE AT SUNSET
ROXETTE,17,Juil.,2012,Zurich,LIVE AT SUNSET
KATIE MELUA,18,Juil.,2012,Zurich,LIVE AT SUNSET
LADY ANTEBELLUM,19,Juil.,2012,Zurich,LIVE AT SUNSET
ZURI WEST,20,Juil.,2012,Zurich,LIVE AT SUNSET
JAMES MORRISON,21,Juil.,2012,Zurich,LIVE AT SUNSET
JOHN MELLENCAMP,13,Juil.,2011,Zurich,LIVE AT SUNSET
STEPHAN EICHER,14,Juil.,2011,Zurich,LIVE AT SUNSET
TOTO,16,Juil.,2011,Zurich,LIVE AT SUNSET
CHICAGO,17,Juil.,2011,Zurich,LIVE AT SUNSET
HANNES WADER,18,Juil.,2011,Zurich,LIVE AT SUNSET
JOE COCKER,19,Juil.,2011,Zurich,LIVE AT SUNSET
TOM JONES,20,Juil.,2011,Zurich,LIVE AT SUNSET
MARC SWAY,22,Juil.,2011,Zurich,LIVE AT SUNSET
GIANNA NANNINI,23,Juil.,2011,Zurich,LIVE AT SUNSET
JULIETA VENEGAS,24,Juil.,2011,Zurich,LIVE AT SUNSET
TORI AMOS,14,Juil.,2010,Zurich,LIVE AT SUNSET
JOHN FOGERTY,15,Juil.,2010,Zurich,LIVE AT SUNSET
GEOFFREY GURRUMUL YUNUPINGU,16,Juil.,2010,Zurich,LIVE AT SUNSET
A-HA,17,Juil.,2010,Zurich,LIVE AT SUNSET
ELEMENT OF CRIME,18,Juil.,2010,Zurich,LIVE AT SUNSET
REAMONN,19,Juil.,2010,Zurich,LIVE AT SUNSET
NINA HAGEN,20,Juil.,2010,Zurich,LIVE AT SUNSET
FOREIGNER,22,Juil.,2010,Zurich,LIVE AT SUNSET
GILBERTO GIL,23,Juil.,2010,Zurich,LIVE AT SUNSET
LUCIO DALLA,24,Juil.,2010,Zurich,LIVE AT SUNSET
MARIA MENA,25,Juil.,2010,Zurich,LIVE AT SUNSET
UB40,08,Juil.,2009,Zurich,LIVE AT SUNSET
