name,day,month,year,ville,festival
MUSE,19,Juil.,2016,Nyon,PALEO FESTIVAL
LOUISE ATTAQUE,20,Juil.,2016,Nyon,PALEO FESTIVAL
FRANCIS CABREL,21,Juil.,2016,Nyon,PALEO FESTIVAL
LES INSUS ?,22,Juil.,2016,Nyon,PALEO FESTIVAL
THE CHEMICAL BROTHERS,23,Juil.,2016,Nyon,PALEO FESTIVAL
MICHEL POLNAREFF,24,Juil.,2016,Nyon,PALEO FESTIVAL
ROBBIE WILLIAMS,20,Juil.,2015,Nyon,PALEO FESTIVAL
KINGS OF LEON,21,Juil.,2015,Nyon,PALEO FESTIVAL
STING,22,Juil.,2015,Nyon,PALEO FESTIVAL
JOHNNY HALLYDAY,23,Juil.,2015,Nyon,PALEO FESTIVAL
120 SECONDES PRESENTE LA SUISSE (KUCHOLL ET VEILLON),24,Juil.,2015,Nyon,PALEO FESTIVAL
ROBERT PLANT & THE SENSATIONAL SPACE SHIFTERS,25,Juil.,2015,Nyon,PALEO FESTIVAL
LOUIS SCHWIZGEBEL WANG,26,Juil.,2015,Nyon,PALEO FESTIVAL
THE BLACK KEYS,22,Juil.,2014,Nyon,PALEO FESTIVAL
STROMAE,23,Juil.,2014,Nyon,PALEO FESTIVAL
ELTON JOHN,24,Juil.,2014,Nyon,PALEO FESTIVAL
THE PRODIGY,25,Juil.,2014,Nyon,PALEO FESTIVAL
JAMES BLUNT,26,Juil.,2014,Nyon,PALEO FESTIVAL
PLACEBO,27,Juil.,2014,Nyon,PALEO FESTIVAL
NEIL YOUNG & PROMISE OF THE REAL,23,Juil.,2013,Nyon,PALEO FESTIVAL
ARCTIC MONKEYS,24,Juil.,2013,Nyon,PALEO FESTIVAL
SANTANA,25,Juil.,2013,Nyon,PALEO FESTIVAL
CHRISTINE SALEM,26,Juil.,2013,Nyon,PALEO FESTIVAL
BLUR,27,Juil.,2013,Nyon,PALEO FESTIVAL
PATRICK BRUEL,28,Juil.,2013,Nyon,PALEO FESTIVAL
MANU CHAO LA VENTURA,17,Juil.,2012,Nyon,PALEO FESTIVAL
THE CURE,18,Juil.,2012,Nyon,PALEO FESTIVAL
STING,19,Juil.,2012,Nyon,PALEO FESTIVAL
LENNY KRAVITZ,20,Juil.,2012,Nyon,PALEO FESTIVAL
GARBAGE,21,Juil.,2012,Nyon,PALEO FESTIVAL
DAVID GUETTA,22,Juil.,2012,Nyon,PALEO FESTIVAL
THE NATIONAL,19,Juil.,2011,Nyon,PALEO FESTIVAL
THE CHEMICAL BROTHERS,20,Juil.,2011,Nyon,PALEO FESTIVAL
THE STROKES,21,Juil.,2011,Nyon,PALEO FESTIVAL
STROMAE,22,Juil.,2011,Nyon,PALEO FESTIVAL
