name,day,month,year,ville,festival
THE TWO,08,Juil.,2015,Sierre,SIERRE BLUES FESTIVAL
MOUNTAIN MEN,09,Juil.,2015,Sierre,SIERRE BLUES FESTIVAL
LIL ED AND THE BLUES IMPERIALS,10,Juil.,2015,Sierre,SIERRE BLUES FESTIVAL
LATVIAN BLUES BAND,11,Juil.,2015,Sierre,SIERRE BLUES FESTIVAL
JEROME PIETRI,12,Juil.,2015,Sierre,SIERRE BLUES FESTIVAL
POPA CHUBBY,09,Juil.,2014,Sierre,SIERRE BLUES FESTIVAL
URIAH HEEP,10,Juil.,2014,Sierre,SIERRE BLUES FESTIVAL
GOTTHARD,11,Juil.,2014,Sierre,SIERRE BLUES FESTIVAL
JONNY LANG,12,Juil.,2014,Sierre,SIERRE BLUES FESTIVAL
BASTIAN BAKER,13,Juil.,2014,Sierre,SIERRE BLUES FESTIVAL
TEXAS,29,Aout,2013,Sierre,SIERRE BLUES FESTIVAL
FABIAN ANDERHUB,30,Aout,2013,Sierre,SIERRE BLUES FESTIVAL
THE DOORS REVIVAL,31,Aout,2013,Sierre,SIERRE BLUES FESTIVAL
SHARRIE WILLIAMS,01,Sep.,2013,Sierre,SIERRE BLUES FESTIVAL
MARCO MARCHI & THE MOJO WORKERS,23,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
DR FEELGOOD,23,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
LUBOS BENA,23,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
LENINGRAD COWBOYS,23,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
LUBOS BENA,23,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
REVEREND BLACK NETWORK,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
MALTED MILK,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
THE CYBORGS,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
ANA POPOVIC,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
THE CYBORGS,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
BEN POOLE,24,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
MEENA CRYLE,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
RICHARD KOECHLI,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
BIG DEZ,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
MIKE ZITO,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
CISCO HERZHAFT,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
SHEMEKIA COPELAND,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
CISCO HERZHAFT,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
T. BLUES MOB,25,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
SHEMEKIA COPELAND,26,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
MEENA CRYLE,26,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
CISCO HERZHAFT,26,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
SIERRE BLUES BAND,26,Aout,2012,Sierre,SIERRE BLUES FESTIVAL
