name,day,month,year,ville,festival
STING,12,Juil.,2017,Sion,SION SOUS LES ETOILES
MICHEL SARDOU,12,Juil.,2017,Sion,SION SOUS LES ETOILES
JAMEL COMEDY CLUB,13,Juil.,2017,Sion,SION SOUS LES ETOILES
STARS 80 - 10 ANS DEJA !,13,Juil.,2017,Sion,SION SOUS LES ETOILES
KIDS UNITED,13,Juil.,2017,Sion,SION SOUS LES ETOILES
ZUCCHERO,14,Juil.,2017,Sion,SION SOUS LES ETOILES
VERONIQUE SANSON,14,Juil.,2017,Sion,SION SOUS LES ETOILES
VERONIQUE SANSON,15,Juil.,2017,Sion,SION SOUS LES ETOILES
ROGER HODGSON & HIS BAND,15,Juil.,2017,Sion,SION SOUS LES ETOILES
DAVID GUETTA,16,Juil.,2017,Sion,SION SOUS LES ETOILES
CHRISTOPHE MAE,16,Juil.,2017,Sion,SION SOUS LES ETOILES
