artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
"""Festi'neuch""",http://www.bandsintown.com/%22Festi%27neuch%22,47.0,Neuchatel,2008-06-01T19:00:00,12,306324,http://www.bandsintown.com/venue/306324,646780,Festival Grounds,6.9666667,http://www.bandsintown.com/event/646780?app_id=epfl
Testament,http://www.bandsintown.com/Testament,46.82368,Erstfeld,2008-06-01T19:00:00,Switzerland,203984,http://www.bandsintown.com/venue/203984,668423,Transilvania Live,8.65031,http://www.bandsintown.com/event/668423?app_id=epfl
Juiceboxxx,http://www.bandsintown.com/Juiceboxxx,47.69448,Schaffhausen,2008-06-01T19:00:00,SH,306328,http://www.bandsintown.com/venue/306328,646805,Tap Tab,8.63623,http://www.bandsintown.com/event/646805?app_id=epfl
Pedra-Preta,http://www.bandsintown.com/Pedra-Preta,47.3666667,Zurich,2008-06-01T19:00:00,25,1524524,http://www.bandsintown.com/venue/1524524,6405280,Stall6,8.55,http://www.bandsintown.com/event/6405280?app_id=epfl
Cancer Bats,http://www.bandsintown.com/CancerBats,47.04258,Lucerne,2008-06-01T19:00:00,Switzerland,309955,http://www.bandsintown.com/venue/309955,695741,Treibhaus,8.319649,http://www.bandsintown.com/event/695741?app_id=epfl
Mem Shannon & The Membership,http://www.bandsintown.com/MemShannonAndTheMembership,47.3,Ruthi,2008-06-01T19:00:00,10,309961,http://www.bandsintown.com/venue/309961,668480,Gruitli Club,9.5333333,http://www.bandsintown.com/event/668480?app_id=epfl
WHY?,http://www.bandsintown.com/WHY%253F,47.426563,St. Gallen,2008-06-01T19:00:00,Switzerland,169988,http://www.bandsintown.com/venue/169988,646800,Palace,9.373224,http://www.bandsintown.com/event/646800?app_id=epfl
Pedra-Preta,http://www.bandsintown.com/Pedra-Preta,47.25,Jona,2008-06-03T19:00:00,25,1751862,http://www.bandsintown.com/venue/1751862,6405307,KellerTheaterGrünfels,8.85,http://www.bandsintown.com/event/6405307?app_id=epfl
Chris Cornell,http://www.bandsintown.com/ChrisCornell,47.375485,Zurich,2008-06-04T19:00:00,Switzerland,170005,http://www.bandsintown.com/venue/170005,668491,Volkshaus,8.527116,http://www.bandsintown.com/event/668491?app_id=epfl
Pedra-Preta,http://www.bandsintown.com/Pedra-Preta,47.0532684,Lucerne,2008-06-04T19:00:00,LU,1751871,http://www.bandsintown.com/venue/1751871,6405320,Jazz Kantine,8.3057899,http://www.bandsintown.com/event/6405320?app_id=epfl
Evangelicals,http://www.bandsintown.com/Evangelicals,46.8,Fribourg,2008-06-05T19:00:00,06,293618,http://www.bandsintown.com/venue/293618,668428,Le Transformateur,7.15,http://www.bandsintown.com/event/668428?app_id=epfl
Pedra-Preta,http://www.bandsintown.com/Pedra-Preta,47.3333333,Uster,2008-06-05T19:00:00,25,1751885,http://www.bandsintown.com/venue/1751885,6405362,Villa am Aabach,8.7,http://www.bandsintown.com/event/6405362?app_id=epfl
Amanda Rogers,http://www.bandsintown.com/AmandaRogers,46.8,Freiburg,2008-06-06T19:00:00,06,309949,http://www.bandsintown.com/venue/309949,668424,White Rabbit,7.15,http://www.bandsintown.com/event/668424?app_id=epfl
Queensrÿche,http://www.bandsintown.com/Queensr%C3%BFche,47.1166667,Huttwil,2008-06-06T19:00:00,01,306315,http://www.bandsintown.com/venue/306315,646718,Rock Sound Festival,7.85,http://www.bandsintown.com/event/646718?app_id=epfl
Evangelicals,http://www.bandsintown.com/Evangelicals,47.3833333,Aarau,2008-06-06T19:00:00,01,306294,http://www.bandsintown.com/venue/306294,646625,Flosserplatz,8.05,http://www.bandsintown.com/event/646625?app_id=epfl
Within Temptation,http://www.bandsintown.com/WithinTemptation,47.1166667,Huttwil,2008-06-07T19:00:00,01,306315,http://www.bandsintown.com/venue/306315,646719,Rock Sound Festival,7.85,http://www.bandsintown.com/event/646719?app_id=epfl
Tesla,http://www.bandsintown.com/Tesla,47.5166667,Pratteln,2008-06-10T19:00:00,01,43060,http://www.bandsintown.com/venue/43060,646796,Z7,7.6833333,http://www.bandsintown.com/event/646796?app_id=epfl
Rose Tattoo,http://www.bandsintown.com/RoseTattoo,47.5166667,Pratteln,2008-06-10T19:00:00,01,43060,http://www.bandsintown.com/venue/43060,646796,Z7,7.6833333,http://www.bandsintown.com/event/646796?app_id=epfl
The Police,http://www.bandsintown.com/ThePolice,47.410675,Zurich,2008-06-12T19:00:00,25,170002,http://www.bandsintown.com/venue/170002,668492,Hallenstadion,8.552307,http://www.bandsintown.com/event/668492?app_id=epfl
REO Speedwagon,http://www.bandsintown.com/ReoSpeedwagon,47.5166667,Pratteln,2008-06-12T19:00:00,01,43060,http://www.bandsintown.com/venue/43060,695755,Z7,7.6833333,http://www.bandsintown.com/event/695755?app_id=epfl
Bullet for My Valentine,http://www.bandsintown.com/BulletForMyValentine,46.6833333,Interlaken,2008-06-13T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646720,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646720?app_id=epfl
The Offspring,http://www.bandsintown.com/TheOffspring,46.6833333,Interlaken,2008-06-13T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646720,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646720?app_id=epfl
"""Greenfield Festival""",http://www.bandsintown.com/%22greenfieldFestival%22,46.6833333,Interlaken,2008-06-13T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646720,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646720?app_id=epfl
3 Doors Down,http://www.bandsintown.com/3DoorsDown,46.6833333,Interlaken,2008-06-14T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646721,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646721?app_id=epfl
Coheed and Cambria,http://www.bandsintown.com/CoheedAndCambria,46.6833333,Interlaken,2008-06-14T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646721,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646721?app_id=epfl
Enter Shikari,http://www.bandsintown.com/EnterShikari,46.6833333,Interlaken,2008-06-14T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646721,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646721?app_id=epfl
"""Greenfield Festival""",http://www.bandsintown.com/%22greenfieldFestival%22,46.6833333,Interlaken,2008-06-14T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646721,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646721?app_id=epfl
Die Ärzte,http://www.bandsintown.com/Die%C3%84rzte,46.6833333,Interlaken,2008-06-14T19:00:00,05,169965,http://www.bandsintown.com/venue/169965,646721,Interlaken Airfield,7.85,http://www.bandsintown.com/event/646721?app_id=epfl
Groombridge,http://www.bandsintown.com/Groombridge,47.555489,Frauenfeld,2008-06-14T22:00:00,,334234,http://www.bandsintown.com/venue/334234,6875071,Kaff,8.89723,http://www.bandsintown.com/event/6875071?app_id=epfl
