Adress,City,Latitude,Longitude,Venue
,Basel,47.552363,7.587572,Balz
,Zürich,47.372906,8.534629,Vior club
,Zürich,47.388826,8.518921,Moods
"Klybeckstrasse 1b; 4057, Basel",Basel,47.563807,7.591125,Kasern
,Bern,46.948903,7.459359,Mahogany hall
,Winterthur,47.502149,8.724357,Esse musicbar
,Frauenfeld,47.561045,8.894008,Eisenwerk
,Unterägeri,47.137498,8.5868,Seminar hotel
,Zürich,47.353853,8.554943,Lebewohlfabrik
,Bern,46.94815,7.451965,Ono  das kulturlokal
,Winterthur,47.501699,8.728823,Villa strauli
,Luzern,47.04187,8.310957,Bar 59
,Luzern,47.051753,8.298259,Madeleine
,Zürich,47.371544,8.550486,Keller 62
,Zürich,47.382198,8.534527,Club flamingo
,Zürich,47.389976,8.521285,Escherwyss
,Bern,46.947566,7.447976,Du theatre
,Niederscherli,46.886495,7.388387,Mzh oberscherli
,Winterthur,47.494777,8.717944,Kraftfeld
,Bern,46.953439,7.440005,Isc club
,Zürich,47.366376,8.546773,Mascotte
,Zürich,47.37675,8.529151,Alte kaserne
,Zürich,47.375488,8.526468,Kanzlei
,Bern,46.944128,7.435911,Orbital garden
,Zürich,47.384697,8.533926,Photobastei
,Zürich,47.375736,8.540001,Wallstreet bar
,Zürich,47.380457,8.527006,Mars bar
,Sankt gallen,47.426617,9.37317,Palace
,Basel,47.555034,7.587553,The birds eye jazz club
"Tellistrasse 118; 5001, Aarau",Aarau,47.383333,8.05,Kiff
,Münchenstein,47.508556,7.616218,Rockfact music club
,Baden,47.476133,8.304602,Stanzerei
,Zürich,47.408944,8.550586,Mundwerk
,Bern,46.95047,7.443566,Turnhalle im progr
,Basel,47.563828,7.591143,Parterre
,Grenchen,47.134371,7.315389,Musigbar
,Luzern,47.051551,8.299418,The bruch brothers
,Solothurn,47.206739,7.537573,Kreuzkultur
,Winterthur,47.494565,8.707746,Gaswerk
,Uster,47.348676,8.718184,Cafe und weinbar zum hut
,Nan,47.227493,8.820099,Alte fabrik
,Zürich,47.388277,8.553447,Theater rigiblick
,Basel,47.55735,7.586374,Theater fauteuil
,Zürich,47.363031,8.495714,Hotel atlantis
,Zürich,47.383401,8.539382,Dynamo
,Luzern,47.044576,8.311251,Schuur
,Kreuzlingen,47.654734,9.17309,Hotel six
,Zürich,47.37721,8.527663,La catrina
,Thun,46.758658,7.630301,Mundwerk thun
,Luzern,47.053315,8.305768,Jazzkantine
,Luzern,47.055057,8.315052,El cartel
,Rafz,47.61431,8.535122,Ref kirche
,Basel,47.564495,7.601806,Bar rouge
,Maisprach,47.561125,7.786742,Kirche maisprach
,Zürich,47.374799,8.534646,Stall 6
,Bern,46.952955,7.440661,Reitschule
,Luzern,47.055062,8.31706,Grand casino luzern
,Nan,47.427342,9.374197,Grabenhalle
,Zürich,47.385878,8.518157,Helsinki
,Nan,47.678965,9.163337,Kulturladen
,Zürich,47.393339,8.529451,Cafe bar nordbrucke
,Thalwil,47.29475,8.564028,Kulturraum thalwil
,Liestal,47.482644,7.734616,Kulturhotel guggenheim
,Zürich,47.378211,8.527395,Zukunft
,Zürich,47.387207,8.519425,Big ben westside
,Bern,46.949727,7.44281,Propellerbar
,Basel,47.564134,7.584369,Cargo bar
,Lenzburg,47.393179,8.177863,Baronessa
"Baumgartenstrasse 19, 8200 Schaffhausen",Schaffhausen,47.694467,8.636037,Kammgarn
"Kofmehlweg 1, 4503 Solothurn",Solothurn,47.233333,7.516667,Kofmehl
,Pontresina,46.493284,9.90203,Pitschna scena
,Zürich,47.38004,8.527733,Gonzo
,Luzern,47.049757,8.308966,Roadhouse
"Pelikanstrasse 18; 8001, Zürich",Zürich,47.371722,8.536468,Kaufleuten
,Zürich,47.388304,8.51932,Exil
,Zürich,47.388504,8.518927,Labor
,Zürich,47.374378,8.533634,El lokal
,Zug,47.182363,8.458365,Fabric
,Zug,47.182217,8.520759,Industrie 45
,Zürich,47.348463,8.562728,Meylenstein bar & lounge
,Zürich,47.387316,8.499864,Komplex 457
,Kirchberg,47.101013,7.570486,Schlagertempel
,Pratteln,47.527292,7.694064,Z7
,Nan,47.332545,8.544321,Villa loca restaurant & bar
,Zürich,47.364701,8.547614,Tibits / nzz bistro
,Bern,46.951697,7.44173,Kapitel bollwerk
