club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 25 Nov 2016",/event.aspx?906324,Bob Rock
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 11 Nov 2016",/event.aspx?901539,Philip Bader
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 11 Nov 2016",/event.aspx?901539,Channel X
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 11 Nov 2016",/event.aspx?901539,Dachshund
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 11 Nov 2016",/event.aspx?901539,Vanita
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 30 Sep 2016",/event.aspx?872016,Oliver Huntemann
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 30 Sep 2016",/event.aspx?872016,Dubspeeka
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 30 Sep 2016",/event.aspx?872016,ME & her
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Fri, 24 Jun 2016",/event.aspx?843593,Ben Murphy
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 4 Jun 2016",/event.aspx?843584,Tristan Bohn
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 9 Apr 2016",/event.aspx?781845,Jensson
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 19 Mar 2016",/event.aspx?809457,Vera
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 19 Mar 2016",/event.aspx?809457,Dasha Redkina
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 19 Mar 2016",/event.aspx?809457,Abelle
"Kanonengasse 16; 8004, Zürich",52726, Alte Kaserne,/club.aspx?id=52726,"Sat, 19 Mar 2016",/event.aspx?809457,Ajele
