club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 29 Oct 2016",/event.aspx?895632,Oliver Huntemann
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 29 Oct 2016",/event.aspx?895632,Be Svendsen
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 29 Oct 2016",/event.aspx?895632,Manon
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 29 Oct 2016",/event.aspx?895632,Moosfiebr
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 29 Oct 2016",/event.aspx?895632,Mar Dean
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Adil Hiani
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Argenis Brito
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Dandy Jack
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Margaret Dygas
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Masomenos
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,San Proper
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Thomas Melchior
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Vadim Svoboda
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Yes'in
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Eli Verveine
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Barbir
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 13 Aug 2016",/event.aspx?854059,Nicola Kazimir
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 May 2016",/event.aspx?839583,Anthea
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 May 2016",/event.aspx?839583,John Dimas
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 May 2016",/event.aspx?839583,Fernando Costantini
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 May 2016",/event.aspx?839583,Pazkal
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 May 2016",/event.aspx?839583,Dario La Mazza
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 30 Apr 2016",/event.aspx?813688,Ezikiel
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 30 Apr 2016",/event.aspx?813688,DoubtingThomas
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 16 Apr 2016",/event.aspx?824638,Midnight Operator
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 16 Apr 2016",/event.aspx?824638,Chica Paula
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 16 Apr 2016",/event.aspx?824638,Eli Verveine
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 16 Apr 2016",/event.aspx?824638,Styro 2000
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 16 Apr 2016",/event.aspx?824638,Amilcare
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 26 Mar 2016",/event.aspx?877057,Livio & Roby
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 26 Mar 2016",/event.aspx?877057,Premiesku
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 26 Mar 2016",/event.aspx?877057,Madnax
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 26 Mar 2016",/event.aspx?877057,Alci
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 19 Mar 2016",/event.aspx?810044,Chris Ahn
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Fri, 11 Mar 2016",/event.aspx?798733,Jama Deejay
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 27 Feb 2016",/event.aspx?772505,Cesar Merveille
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 27 Feb 2016",/event.aspx?772505,Aparde
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 27 Feb 2016",/event.aspx?772505,Scotty.A
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 27 Feb 2016",/event.aspx?772505,Alessandro Crimi
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 27 Feb 2016",/event.aspx?772505,Idealist
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sun, 21 Feb 2016",/event.aspx?806058,Lee Jokes
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 24 Oct 2015",/event.aspx?765105,Extrawelt
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 24 Oct 2015",/event.aspx?765105,Sven Dohse
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 24 Oct 2015",/event.aspx?765105,Manon
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 24 Oct 2015",/event.aspx?765105,Moosfiebr
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 3 Oct 2015",/event.aspx?720234,Andrey Pushkarev
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 3 Oct 2015",/event.aspx?720234,Canson
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 3 Oct 2015",/event.aspx?720234,Rumlaut
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 3 Oct 2015",/event.aspx?720234,Patrischa
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 Mar 2015",/event.aspx?686619,Galoppierende Zuversicht
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 Mar 2015",/event.aspx?686619,Styro 2000
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 28 Mar 2015",/event.aspx?686619,Lorenzo Gangi
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 31 Jan 2015",/event.aspx?679135,Nicola Kazimir
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 31 Jan 2015",/event.aspx?679135,Love Cult
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 31 Jan 2015",/event.aspx?679135,Samsara
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 20 Dec 2014",/event.aspx?666403,Renato Broccini
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 20 Dec 2014",/event.aspx?666403,Deneha
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 6 Dec 2014",/event.aspx?661676,Sascha Cawa
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 6 Dec 2014",/event.aspx?661676,Lee Jokes
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 22 Nov 2014",/event.aspx?647174,Tristan Bohn
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 11 Oct 2014",/event.aspx?631603,Der Dritte Raum
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 11 Oct 2014",/event.aspx?631603,Canson
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 11 Oct 2014",/event.aspx?631603,Manon
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 11 Oct 2014",/event.aspx?631603,Don Ramon
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 11 Oct 2014",/event.aspx?631603,Moosfiebr
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Fri, 3 Oct 2014",/event.aspx?636089,Heimlich Knüller
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Fri, 3 Oct 2014",/event.aspx?636089,Dave Dinger
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Fri, 3 Oct 2014",/event.aspx?636089,ron.kanditt
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Wed, 28 May 2014",/event.aspx?600791,Proudly People
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Wed, 28 May 2014",/event.aspx?600791,Kurilian Kratz
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Wed, 28 May 2014",/event.aspx?600791,The Rah
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 24 May 2014",/event.aspx?584729,Livio & Roby
"Zollstrasse 80, 8005 Zürich",46827, Amboss Rampe,/club.aspx?id=46827,"Sat, 26 Apr 2014",/event.aspx?589728,Timoteo
