club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 13 Dec 2014",/event.aspx?652317,Polar Inertia
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 13 Dec 2014",/event.aspx?652317,Garçon
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 21 Nov 2014",/event.aspx?649322,Simon Lemont
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 30 Aug 2014",/event.aspx?624858,Simon Lemont
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 30 Aug 2014",/event.aspx?624858,Philipp Weibel
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 30 Aug 2014",/event.aspx?624858,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 30 May 2014",/event.aspx?594954,Mikkel Metal
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 30 May 2014",/event.aspx?594954,Johannes Volk
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 30 May 2014",/event.aspx?594954,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 9 Nov 2013",/event.aspx?533000,Philipp Weibel
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 9 Nov 2013",/event.aspx?533000,Simon Lemont
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 28 Sep 2013",/event.aspx?505978,Florian Kupfer
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 28 Sep 2013",/event.aspx?505978,Garçon
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 28 Sep 2013",/event.aspx?505978,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 21 Sep 2013",/event.aspx?517396,Ed Luis
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 7 Sep 2013",/event.aspx?505977,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 17 Aug 2013",/event.aspx?505976,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 16 Aug 2013",/event.aspx?500016,ECHOLOT
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Fri, 16 Aug 2013",/event.aspx?500016,Guyus
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 27 Jul 2013",/event.aspx?496982,Simon Lemont
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 27 Jul 2013",/event.aspx?496982,Morard
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 29 Jun 2013",/event.aspx?489985,Oram Modular
"Lehenmattstrasse 353, 4052 Basel",79367, Archiv,/club.aspx?id=79367,"Sat, 29 Jun 2013",/event.aspx?489985,Morard
