club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 28 Sep 2013",/event.aspx?521134,Onur Özer
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 26 Apr 2013",/event.aspx?467384,Dubfire
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 26 Apr 2013",/event.aspx?467384,SHADED
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 26 Apr 2013",/event.aspx?467384,Romano Rapeso
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 26 Apr 2013",/event.aspx?467384,Hiivemind
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 5 Apr 2013",/event.aspx?467948,Luca Agnelli
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 5 Apr 2013",/event.aspx?467948,Marco Faraone
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 5 Apr 2013",/event.aspx?467948,Marco Rossi
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 5 Apr 2013",/event.aspx?467948,Frank Storm
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 5 Apr 2013",/event.aspx?467948,Teo Ermotti
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 29 Mar 2013",/event.aspx?461290,Matador
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 29 Mar 2013",/event.aspx?461290,Heartthrob
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 29 Mar 2013",/event.aspx?461290,Hobo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 23 Mar 2013",/event.aspx?463009,Dr. Lektroluv
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 23 Mar 2013",/event.aspx?463009,Hiivemind
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 22 Feb 2013",/event.aspx?453067,Paco Osuna
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 22 Feb 2013",/event.aspx?453067,Simon T
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 22 Feb 2013",/event.aspx?453067,Mattia Presta
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 22 Feb 2013",/event.aspx?453067,Matteo Melillo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 25 Jan 2013",/event.aspx?443439,Michel Cleis
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 25 Jan 2013",/event.aspx?443439,Mendo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 25 Jan 2013",/event.aspx?443439,Kenny Ground
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 25 Jan 2013",/event.aspx?443439,Alexander Vogt
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 30 Nov 2012",/event.aspx?427046,Gaiser
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 30 Nov 2012",/event.aspx?427046,Heartthrob
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 30 Nov 2012",/event.aspx?427046,Romano Rapeso
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 17 Nov 2012",/event.aspx?687252,Tucillo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 17 Nov 2012",/event.aspx?687252,Marco Rossi
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 17 Nov 2012",/event.aspx?687252,Matteo Melillo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 17 Nov 2012",/event.aspx?687252,Stallo
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 17 Nov 2012",/event.aspx?687252,Hiivemind
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 12 Oct 2012",/event.aspx?407410,M.A.N.D.Y.
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Fri, 12 Oct 2012",/event.aspx?407410,Audiofly
"Via Angelo Maspoli, 24 CH-6850 Mendrisio",57328, Arena Mendrisio,/club.aspx?id=57328,"Sat, 7 Jan 2012",/event.aspx?324889,Raf Marchesini
