club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 4 Jun 2016",/event.aspx?816657,Souldynamic
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 16 Apr 2016",/event.aspx?821549,Richard Earnshaw
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 16 Apr 2016",/event.aspx?821549,DJ Le Baron
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 20 Feb 2016",/event.aspx?795224,Luis Radio
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 19 Dec 2015",/event.aspx?769588,Mr. V
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 24 Oct 2015",/event.aspx?754630,Terry Hunter
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 22 Jun 2012",/event.aspx?379501,Fred Linger
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 10 Dec 2010",/event.aspx?212297,Ralf GUM
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 10 Dec 2010",/event.aspx?212297,Ben Moss
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 10 Dec 2010",/event.aspx?212297,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 10 Dec 2010",/event.aspx?212297,Ray Jones
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 15 Oct 2010",/event.aspx?198553,Willie Graff
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 15 Oct 2010",/event.aspx?198553,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 3 Sep 2010",/event.aspx?184722,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 3 Sep 2010",/event.aspx?184722,Cristian Tamborrini
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 3 Sep 2010",/event.aspx?184722,Fabio Tamborrini
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 3 Sep 2010",/event.aspx?184722,Ray Jones
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 6 Aug 2010",/event.aspx?181155,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 6 Aug 2010",/event.aspx?181155,Morard
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 11 Jun 2010",/event.aspx?173853,Gorge
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 12 Mar 2010",/event.aspx?150115,Nicc Johnson
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 12 Mar 2010",/event.aspx?150115,Fabio Tamborrini
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 29 Jan 2010",/event.aspx?135336,Alex Barck
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 29 Jan 2010",/event.aspx?135336,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 13 Nov 2009",/event.aspx?201464,Ralf GUM
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 13 Nov 2009",/event.aspx?201464,Ben Moss
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Fri, 13 Nov 2009",/event.aspx?201464,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 1 Aug 2009",/event.aspx?107707,DJ Le Roi
"Klosterberg 13; 4051, Basel",19703, Atlantis Club,/club.aspx?id=19703,"Sat, 1 Aug 2009",/event.aspx?107707,Ray Jones
