club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 30 Apr 2016",/event.aspx?820821,Nico Morano
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 30 Apr 2016",/event.aspx?820821,Skaos
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 16 Apr 2016",/event.aspx?820812,Skaos
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 16 Apr 2016",/event.aspx?820812,Geronimo
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 2 Apr 2016",/event.aspx?814492,Jose Maria Ramon
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 2 Apr 2016",/event.aspx?814492,Skaos
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 2 Apr 2016",/event.aspx?816549,Jose Maria Ramon
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 2 Apr 2016",/event.aspx?816549,Skaos
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sun, 27 Mar 2016",/event.aspx?815203,Matteo Arcucci
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 26 Mar 2016",/event.aspx?816086,Nukem
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 26 Mar 2016",/event.aspx?816086,Skaos
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 12 Mar 2016",/event.aspx?815199,Matteo Arcucci
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 27 Feb 2016",/event.aspx?810259,Matteo Arcucci
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 6 Feb 2016",/event.aspx?799439,Helder
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 6 Feb 2016",/event.aspx?799439,Matteo Arcucci
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sun, 27 Sep 2015",/event.aspx?758443,Helder
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sun, 27 Sep 2015",/event.aspx?758443,Matteo Arcucci
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Sat, 26 Sep 2015",/event.aspx?758441,Ragesh Nair
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Fri, 22 Nov 2013",/event.aspx?533127,Todd Bodine
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Fri, 8 Nov 2013",/event.aspx?533015,Luna City Express
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Fri, 8 Nov 2013",/event.aspx?533015,Garibovic
"Sternengässchen 1, 3011 Bern",84935, BM1 Club,/club.aspx?id=84935,"Fri, 8 Nov 2013",/event.aspx?533015,Paulo César
