club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 26 Sep 2014",/event.aspx?639967,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 26 Sep 2014",/event.aspx?639967,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 26 Sep 2014",/event.aspx?639967,Matt Grey
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 20 Dec 2013",/event.aspx?549692,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 20 Dec 2013",/event.aspx?549692,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 20 Dec 2013",/event.aspx?549692,Matt Grey
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Mon, 30 Apr 2012",/event.aspx?361584,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Mon, 30 Apr 2012",/event.aspx?361584,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Mon, 30 Apr 2012",/event.aspx?361584,Matt Grey
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 4 Nov 2011",/event.aspx?305674,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 4 Nov 2011",/event.aspx?305674,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 4 Nov 2011",/event.aspx?305674,Matt Grey
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 18 Dec 2009",/event.aspx?130491,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 18 Dec 2009",/event.aspx?130491,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 18 Dec 2009",/event.aspx?130491,Matt Grey
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 23 May 2008",/event.aspx?53943,David Morales
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 23 May 2008",/event.aspx?53943,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 23 May 2008",/event.aspx?53943,Le Freak
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 11 Apr 2008",/event.aspx?49382,Sarah Main
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 11 Apr 2008",/event.aspx?49382,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 11 Apr 2008",/event.aspx?49382,Le Freak
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 21 Dec 2007",/event.aspx?37000,Marco Berto
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 21 Dec 2007",/event.aspx?37000,Pad Beryll
"Untere Vogelsangstrasse 8; 8400, Winterthur",8309, Bolero Lifestyle Club,/club.aspx?id=8309,"Fri, 21 Dec 2007",/event.aspx?37000,Matt Grey
