club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 5 Feb 2017",/event.aspx?919651,Wareika
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 3 Feb 2017",/event.aspx?920039,Todd Terry
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 27 Jan 2017",/event.aspx?914321,Djeff Afrozila
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 27 Jan 2017",/event.aspx?914321,Floyd Lavine
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 27 Jan 2017",/event.aspx?914321,Alma Negra
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 27 Jan 2017",/event.aspx?914321,Dede
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 1 Jan 2017",/event.aspx?914038,dOP
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 1 Jan 2017",/event.aspx?914038,Dragan.
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 1 Jan 2017",/event.aspx?914038,Montero
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 25 Dec 2016",/event.aspx?904923,Chopstick & Johnjon
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 25 Dec 2016",/event.aspx?904923,Meggy
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sun, 25 Dec 2016",/event.aspx?904923,Michael Berczelly
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 3 Dec 2016",/event.aspx?899651,Manuel Moreno
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 26 Nov 2016",/event.aspx?899648,Robosonic
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 25 Nov 2016",/event.aspx?895797,AKA AKA
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 25 Nov 2016",/event.aspx?895797,Steve Cole
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 25 Nov 2016",/event.aspx?895797,Avem
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Fri, 4 Nov 2016",/event.aspx?895836,Peng Peng
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 29 Oct 2016",/event.aspx?885503,Finnebassen
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 22 Oct 2016",/event.aspx?880924,Monkey Safari
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 8 Oct 2016",/event.aspx?885053,Armonica
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Sat, 8 Oct 2016",/event.aspx?885053,Andrew The Grand
"Markplatz 34, Basel 4001",111677, Cafe Singer,/club.aspx?id=111677,"Thu, 6 Oct 2016",/event.aspx?885046,HiGY
