club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Sat, 4 Jun 2016",/event.aspx?844809,Prosumer
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Sat, 4 Jun 2016",/event.aspx?844809,Morard
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Sat, 30 Apr 2016",/event.aspx?825837,Joe Claussell
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 4 Mar 2016",/event.aspx?805474,Bruno Pronsato
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 4 Mar 2016",/event.aspx?805474,Pazkal
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 4 Mar 2016",/event.aspx?805474,Pawlikowski
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 4 Mar 2016",/event.aspx?805474,Nico Wilde
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 12 Feb 2016",/event.aspx?791266,Dominik Eulberg
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 12 Feb 2016",/event.aspx?791266,Oliver Spiess
"Marktpl. 34, 4001 Basel",113079, Café Singer,/club.aspx?id=113079,"Fri, 12 Feb 2016",/event.aspx?791266,Fred Linger
