club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Thu, 30 Jul 2015",/event.aspx?762761,Chris Ahn
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Sat, 4 Apr 2015",/event.aspx?702122,Chris Ahn
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Thu, 7 Aug 2014",/event.aspx?673066,Chris Ahn
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Wed, 2 Jul 2014",/event.aspx?672995,Chris Ahn
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Sat, 23 Mar 2013",/event.aspx?462792,Jokari
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Fri, 14 Dec 2012",/event.aspx?431974,Marc Poppcke
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Fri, 14 Dec 2012",/event.aspx?431974,Luis Hill
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Wed, 18 Jul 2012",/event.aspx?380000,Xminder
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Wed, 18 Jul 2012",/event.aspx?380000,Glitz
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Fri, 23 Mar 2012",/event.aspx?349940,Jstar
"Av. de Tivoli 3, Fribourg, 1700, CH",54797, Café XXE,/club.aspx?id=54797,"Fri, 9 Dec 2011",/event.aspx?308628,Monkey Safari
