club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 7 Jan 2017",/event.aspx?917799,Atlantik
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 7 Jan 2017",/event.aspx?917799,Barbara Myra
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 7 Jan 2017",/event.aspx?917799,Mattoo
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 22 Oct 2016",/event.aspx?871689,Koreless
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 22 Oct 2016",/event.aspx?871689,Elektro Guzzi
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 22 Oct 2016",/event.aspx?871689,Pional
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 27 Feb 2016",/event.aspx?809305,Pachanga Boys
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Sat, 27 Feb 2016",/event.aspx?809305,Garance
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Acid Arab
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Clara 3000
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,FunkinEven
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Kölsch
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Knor
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Laolu
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Mirko Loko
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Materia
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Phrex
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Thu, 26 Nov 2015",/event.aspx?775176,Superpoze
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Fri, 12 Jun 2015",/event.aspx?717786,Cotton Claw
"Quai Philippe Godet 20; 2000, Neuchâtel",27389, Case à Chocs,/club.aspx?id=27389,"Fri, 12 Jun 2015",/event.aspx?717786,Everydayz
