club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Nov 2016",/event.aspx?895864,Undercatt
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Nov 2016",/event.aspx?895864,David Armada
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Nov 2016",/event.aspx?895864,Clem
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Nov 2016",/event.aspx?895864,Ana Eva
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,Blond:ish
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,David Armada
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,Clem
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,Reas
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,Central Rodeo
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 27 Aug 2016",/event.aspx?871473,Salzunpepper
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 4 Jun 2016",/event.aspx?845042,Anton Madera
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 21 May 2016",/event.aspx?832768,Hito
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Sat, 21 May 2016",/event.aspx?832768,Charlotte de Witte
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Mar 2016",/event.aspx?806829,Claptone
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Mar 2016",/event.aspx?806829,Bedouin
"73 Rue des Vollandes, 1207 Geneva",114848, Caves Des Vollandes,/club.aspx?id=114848,"Fri, 4 Mar 2016",/event.aspx?806829,David Armada
