club_adress,club_id,club_name,club_ref,date,ref_event,artiste
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 28 Jan 2017",/event.aspx?902323,DJ SCM
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 28 Jan 2017",/event.aspx?902323,Pascal Viscardi
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Thu, 26 Jan 2017",/event.aspx?914131,Temiri
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Thu, 26 Jan 2017",/event.aspx?914131,Matt Roots
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 20 Jan 2017",/event.aspx?921105,Opuswerk
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 20 Jan 2017",/event.aspx?921105,Philippe Petit
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 13 Jan 2017",/event.aspx?921098,Strb
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 5 Nov 2016",/event.aspx?896804,Opuswerk
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 14 Oct 2016",/event.aspx?884526,Plusculaar
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 14 Oct 2016",/event.aspx?884526,Temiri
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 20 Aug 2016",/event.aspx?884524,Temiri
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 20 Aug 2016",/event.aspx?884524,Adhmad Til
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 5 Aug 2016",/event.aspx?846628,Pascal Viscardi
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 5 Aug 2016",/event.aspx?846628,DJ SCM
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 1 Jul 2016",/event.aspx?853806,Philippe Petit
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Fri, 24 Jun 2016",/event.aspx?852134,Opuswerk
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 7 May 2016",/event.aspx?825356,Philippe Petit
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 7 May 2016",/event.aspx?825356,Opuswerk
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 16 Apr 2016",/event.aspx?828295,Opuswerk
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 16 Apr 2016",/event.aspx?828295,Strb
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 26 Dec 2015",/event.aspx?788836,Philippe Petit
2 Rue De La Faucille Geneva,112816, Central Station,/club.aspx?id=112816,"Sat, 26 Dec 2015",/event.aspx?788836,Opuswerk
