club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 7 Nov 2009",/event.aspx?126956,Tom Trago
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 7 Nov 2009",/event.aspx?126956,Jagged
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 9 Oct 2009",/event.aspx?121525,DJ Mehdi
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sun, 31 May 2009",/event.aspx?99814,Jagged
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 10 Dec 2010",/event.aspx?210608,Rodney Hunter
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 3 Sep 2010",/event.aspx?173250,Fritz Kalkbrenner
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 3 Sep 2010",/event.aspx?173250,Jagged
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 1 May 2010",/event.aspx?157906,Alex Dallas
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 1 May 2010",/event.aspx?157906,Jagged
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 27 Feb 2010",/event.aspx?148648,Adam Port
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 27 Feb 2010",/event.aspx?148648,Jagged
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 12 Feb 2010",/event.aspx?145145,Radiorifle
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 8 Jan 2010",/event.aspx?131545,Jake the Rapper
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 8 Jan 2010",/event.aspx?131545,J_Sanders
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 30 Dec 2011",/event.aspx?308631,Monkey Safari
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 30 Dec 2011",/event.aspx?308631,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 11 Nov 2011",/event.aspx?307178,Julio Bashmore
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 11 Nov 2011",/event.aspx?307178,Futureboogie
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 11 Nov 2011",/event.aspx?307178,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 9 Sep 2011",/event.aspx?289144,Luca Lozano
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 9 Sep 2011",/event.aspx?289144,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 10 Jun 2011",/event.aspx?258572,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 10 Jun 2011",/event.aspx?258572,Soul Clap
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 23 Apr 2011",/event.aspx?234128,Noze
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 23 Apr 2011",/event.aspx?234128,J_Sanders
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 18 Mar 2011",/event.aspx?234127,DJ Phono
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 5 Mar 2011",/event.aspx?235764,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 28 Jan 2011",/event.aspx?226444,Radiorifle
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 1 Dec 2012",/event.aspx?427954,Huazee
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 1 Dec 2012",/event.aspx?427954,Robel
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 1 Dec 2012",/event.aspx?427954,Rodri
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 16 Nov 2012",/event.aspx?401915,Flight Facilities
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 27 Oct 2012",/event.aspx?400918,Manon
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 27 Oct 2012",/event.aspx?400918,Luca de Grandis
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 27 Oct 2012",/event.aspx?400918,James Mc Hale
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Sat, 29 Sep 2012",/event.aspx?408196,Derrick May
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 24 Aug 2012",/event.aspx?393617,Boris Why
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 24 Aug 2012",/event.aspx?393617,Huazee
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 24 Aug 2012",/event.aspx?393617,Robel
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 6 Jul 2012",/event.aspx?381575,James Mc Hale
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 1 Jun 2012",/event.aspx?373665,Zombie Disco Squad
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Fri, 1 Jun 2012",/event.aspx?373665,Round Table Knights
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Thu, 26 Apr 2012",/event.aspx?347468,Jesse Rose
"Aarbergergasse 33/35; 3011, Bern",18380, Club Bonsoir,/club.aspx?id=18380,"Thu, 26 Apr 2012",/event.aspx?347468,Oliver $
