club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 17 Sep 2011",/event.aspx?289647,Gary Beck
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 17 Sep 2011",/event.aspx?289647,Hans Bouffmyhre
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 17 Sep 2011",/event.aspx?289647,Silvision
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 17 Sep 2011",/event.aspx?289647,Squep
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Joachim Spieth
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Pixelpunks
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Squep
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Joker
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Shahira
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 15 May 2010",/event.aspx?149308,Silvision
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 24 Oct 2009",/event.aspx?121575,Radro
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sun, 4 Oct 2009",/event.aspx?121061,Silvision
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 10 Jan 2009",/event.aspx?78477,Beda
"Schaffhauserstrasse 148; 8400, Winterthur",14968, Club Reaktor,/club.aspx?id=14968,"Sat, 10 Jan 2009",/event.aspx?78477,Radro
