club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Sat, 26 Feb 2011",/event.aspx?229058,Elvis Cassetta
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Sat, 26 Feb 2011",/event.aspx?229058,Herr Müller
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Sat, 26 Feb 2011",/event.aspx?229058,Andreas Ramos
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Sat, 26 Feb 2011",/event.aspx?229058,Schmerol
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 28 Jan 2011",/event.aspx?223862,Rumlaut
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 28 Jan 2011",/event.aspx?223862,Andreas Ramos
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 28 Jan 2011",/event.aspx?223862,Schmerol
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 28 Jan 2011",/event.aspx?223862,Todo
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Sat, 11 Dec 2010",/event.aspx?210801,Andreas Ramos
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 29 Oct 2010",/event.aspx?200147,San Marco
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 29 Oct 2010",/event.aspx?200147,AK-N
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 29 Oct 2010",/event.aspx?200147,Padrino
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 29 Oct 2010",/event.aspx?200147,Lukino
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 15 Oct 2010",/event.aspx?252468,Mario Zar
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 15 Oct 2010",/event.aspx?252468,Andreas Ramos
"Langstrasse Zürich, ZH",36626, Cocuna,/club.aspx?id=36626,"Fri, 15 Oct 2010",/event.aspx?252468,Rumlaut
