club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 29 Dec 2012",/event.aspx?424123,Kellerkind
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 29 Dec 2012",/event.aspx?424123,Kamil Pawel
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 3 Mar 2012",/event.aspx?338305,Khainz
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 3 Mar 2012",/event.aspx?338305,Martin Baur
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Thu, 23 Feb 2012",/event.aspx?338309,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 18 Feb 2012",/event.aspx?338295,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Fri, 17 Feb 2012",/event.aspx?340743,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 11 Feb 2012",/event.aspx?338274,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Fri, 10 Feb 2012",/event.aspx?337899,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 28 Jan 2012",/event.aspx?326923,Sascha Dive
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 28 Jan 2012",/event.aspx?326923,Como Damar
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 28 Jan 2012",/event.aspx?326923,Der Effekt
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 17 Sep 2011",/event.aspx?292828,De La Porter
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Sat, 30 Apr 2011",/event.aspx?244702,Malente
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Fri, 18 Mar 2011",/event.aspx?242137,Massuro Takashi
"Gewerbestrasse 14; 9470, Buchs",43773, Cube Bux,/club.aspx?id=43773,"Fri, 4 Feb 2011",/event.aspx?226283,Joe T Vannelli
