club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Tue, 8 Aug 2006",/event.aspx?59941,Markus Fix
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Tue, 8 Aug 2006",/event.aspx?59941,Hudi
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 26 Jan 2008",/event.aspx?41738,Phantom/Ghost
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Fri, 30 Apr 2010",/event.aspx?160998,Raphaël
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 22 Oct 2011",/event.aspx?297588,Jagged
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 19 Feb 2011",/event.aspx?216611,Diego Hostettler
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 19 Feb 2011",/event.aspx?216611,Vision-E
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Fri, 12 Oct 2012",/event.aspx?392120,Ante Perry
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 26 May 2012",/event.aspx?370662,Jagged
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 25 Feb 2012",/event.aspx?328325,Diego Hostettler
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 25 Feb 2012",/event.aspx?328325,Vision-E
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 11 Feb 2012",/event.aspx?338361,Robel
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 11 Feb 2012",/event.aspx?338361,Rodri
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Fri, 22 Nov 2013",/event.aspx?534637,NHK'Koyxen
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 9 Nov 2013",/event.aspx?535561,Steven Tang
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 9 Nov 2013",/event.aspx?535561,Phrex
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 26 Oct 2013",/event.aspx?530595,Beda
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 12 Oct 2013",/event.aspx?520201,Cristian Vogel
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 12 Oct 2013",/event.aspx?520201,Kangding Ray
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 12 Oct 2013",/event.aspx?520201,Kowton
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 5 Oct 2013",/event.aspx?524239,Ata
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sun, 7 Dec 2014",/event.aspx?644772,Eftn
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 29 Nov 2014",/event.aspx?644764,Alex Like
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sun, 23 Nov 2014",/event.aspx?644770,Eftn
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 22 Nov 2014",/event.aspx?639493,Dean Blunt
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Fri, 21 Nov 2014",/event.aspx?639492,Ben Frost
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Thu, 20 Nov 2014",/event.aspx?639488,Atom™
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Thu, 20 Nov 2014",/event.aspx?639488,Laetitia Sadier
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 15 Nov 2014",/event.aspx?641276,Helena Hauff
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 8 Nov 2014",/event.aspx?644769,Eric Volta
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 8 Nov 2014",/event.aspx?644769,Mike Machine
"Marzilistrasse 47; 3005, Bern",9001, Dampfzentrale,/club.aspx?id=9001,"Sat, 8 Nov 2014",/event.aspx?644769,Adriano Mirabile
