club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Fri, 22 Nov 2013",/event.aspx?530834,Vitalic
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Fri, 22 Nov 2013",/event.aspx?530834,Yuksek
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Dec 2012",/event.aspx?426102,Audiofly
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Dec 2012",/event.aspx?426102,Canson
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Dec 2012",/event.aspx?426102,Reto Ardour
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Dec 2012",/event.aspx?426102,Wandler
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 28 Jan 2012",/event.aspx?324833,Marc Houle
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 28 Jan 2012",/event.aspx?324833,Dandy Jack
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 28 Jan 2012",/event.aspx?324833,Canson
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 28 Jan 2012",/event.aspx?324833,Ezikiel
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 28 Jan 2012",/event.aspx?324833,Wandler
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,M.A.N.D.Y.
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,Digitaline
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,Craig Richards
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,Markus Lindner
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,Don Ramon
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 17 Dec 2011",/event.aspx?311555,Henry Sure
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 19 Nov 2011",/event.aspx?302097,Lee Burridge
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 19 Nov 2011",/event.aspx?302097,Mark Henning
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 19 Nov 2011",/event.aspx?302097,Markus Lindner
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 19 Nov 2011",/event.aspx?302097,Canson
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 19 Nov 2011",/event.aspx?302097,Wandler
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Aug 2009",/event.aspx?108154,Marco Carola
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Aug 2009",/event.aspx?108154,Audion
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Aug 2009",/event.aspx?108154,Davide Squillace
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Aug 2009",/event.aspx?108154,Paco Osuna
"Hardstrasse 219; 8005, Zürich",4901, Die Harterei,/club.aspx?id=4901,"Sat, 8 Aug 2009",/event.aspx?108154,Beda
