club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 3 Dec 2010",/event.aspx?207548,Tagträumer²
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 3 Dec 2010",/event.aspx?207548,Oliver Markreich
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 3 Dec 2010",/event.aspx?207548,Steve Cole
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 3 Dec 2010",/event.aspx?207548,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 1 Oct 2010",/event.aspx?190440,Dominik Eulberg
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 1 Oct 2010",/event.aspx?190440,Chris Milla
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 1 Oct 2010",/event.aspx?190440,Miss Flora
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 1 Oct 2010",/event.aspx?190440,Adrian Martin
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Fri, 1 Oct 2010",/event.aspx?190440,Mandibula
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 18 Sep 2010",/event.aspx?171859,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 18 Sep 2010",/event.aspx?171859,Chris Tietjen
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 4 Sep 2010",/event.aspx?182796,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 4 Sep 2010",/event.aspx?182796,Maetrik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 21 Aug 2010",/event.aspx?177539,Matt Tolfrey
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 21 Aug 2010",/event.aspx?177539,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 21 Aug 2010",/event.aspx?177539,Gianni Callipari
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 7 Aug 2010",/event.aspx?177538,Cesare vs Disorder
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 7 Aug 2010",/event.aspx?177538,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 7 Aug 2010",/event.aspx?177538,Gianni Callipari
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 31 Jul 2010",/event.aspx?177536,Gregorythme
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 31 Jul 2010",/event.aspx?177536,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 31 Jul 2010",/event.aspx?177536,Gianni Callipari
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 31 Jul 2010",/event.aspx?171858,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 31 Jul 2010",/event.aspx?171858,Digitaline
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 24 Jul 2010",/event.aspx?177533,Markus Lindner
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 24 Jul 2010",/event.aspx?177533,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 24 Jul 2010",/event.aspx?177533,Gianni Callipari
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 10 Jul 2010",/event.aspx?171855,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 10 Jul 2010",/event.aspx?171855,Martin Eyerer
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 19 Jun 2010",/event.aspx?171854,Tuncay Celik
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 19 Jun 2010",/event.aspx?171854,Patrick Chardronnet
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 12 Jun 2010",/event.aspx?167055,SweetnCandy
"Auf dem Wolf 4; 4057, Basel",30300, Digital Club,/club.aspx?id=30300,"Sat, 12 Jun 2010",/event.aspx?167055,Tuncay Celik
