club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 7 Jun 2014",/event.aspx?601418,Jimi Jules
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 7 Jun 2014",/event.aspx?601418,Lucas Monème
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Wed, 28 May 2014",/event.aspx?583156,Dennis Ferrer
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Wed, 28 May 2014",/event.aspx?583156,Kellerkind
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 4 Jan 2014",/event.aspx?548238,Wankelmut
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 21 Dec 2013",/event.aspx?545282,Kellerkind
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 21 Dec 2013",/event.aspx?545282,The Bassment
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 12 Oct 2013",/event.aspx?513239,Finnebassen
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 12 Oct 2013",/event.aspx?513239,Gianni Callipari
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 12 Oct 2013",/event.aspx?513239,James Mc Hale
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 14 Sep 2013",/event.aspx?513238,Todd Bodine
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 14 Sep 2013",/event.aspx?513238,Andri
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 14 Sep 2013",/event.aspx?513238,The Bassment
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 22 Jun 2013",/event.aspx?486467,Noir
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 22 Jun 2013",/event.aspx?486467,Luca de Grandis
"Kontrollstrasse 26; 2502, Biel",36867, Duo Club,/club.aspx?id=36867,"Sat, 27 Apr 2013",/event.aspx?467926,Tiefschwarz
