club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 23 Dec 2010",/event.aspx?214648,Soul Clap
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 23 Dec 2010",/event.aspx?214648,Toast Terry
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 16 Sep 2010",/event.aspx?190895,Daria
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 16 Sep 2010",/event.aspx?190895,Violett
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 16 Sep 2010",/event.aspx?190895,Margaret Dygas
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sun, 1 Aug 2010",/event.aspx?179966,Dollar Mambo
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sun, 1 Aug 2010",/event.aspx?179966,St Plomb
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sun, 1 Aug 2010",/event.aspx?179966,Mountain People
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sat, 31 Jul 2010",/event.aspx?179964,Kadebostan
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sat, 31 Jul 2010",/event.aspx?179964,Laolu
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Sat, 31 Jul 2010",/event.aspx?179964,Frivolous
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 30 Jul 2010",/event.aspx?179963,Opuswerk
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 30 Jul 2010",/event.aspx?179963,Kath Harding
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 30 Jul 2010",/event.aspx?179963,Kabale und Liebe
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 29 Jul 2010",/event.aspx?179962,Daria
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 29 Jul 2010",/event.aspx?179962,Alejandro Mosso
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Thu, 29 Jul 2010",/event.aspx?179962,Sascha Funke
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 9 Jul 2010",/event.aspx?174188,DJ Dub
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 9 Jul 2010",/event.aspx?174188,Opuswerk
"Rue des vieux Grenadiers 8-10; 1205, Genève",31713, Fabrik 46,/club.aspx?id=31713,"Fri, 9 Jul 2010",/event.aspx?174188,Santos Resiak
