club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 30 May 2015",/event.aspx?701698,Philip Bader
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 30 May 2015",/event.aspx?701698,Madben
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 30 May 2015",/event.aspx?701698,Eli Verveine
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 30 May 2015",/event.aspx?701698,Adolpho & Franky
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 31 May 2014",/event.aspx?597694,Nôze
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 31 May 2014",/event.aspx?597694,Azimute
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 31 May 2014",/event.aspx?597694,Quenum
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 31 May 2014",/event.aspx?597694,Cesare vs Disorder
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 31 May 2014",/event.aspx?597694,Masaya
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Jun 2010",/event.aspx?155194,Shrubbn!!
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Jun 2010",/event.aspx?155194,Housemeister
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Jun 2010",/event.aspx?155194,Joyce Muniz
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Jun 2010",/event.aspx?155194,Miss Flora
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Sep 2009",/event.aspx?112785,Chic Miniature
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Sep 2009",/event.aspx?112785,Ernesto Ferreyra
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Sep 2009",/event.aspx?112785,Mike Shannon
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Sep 2009",/event.aspx?112785,Antislash
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 5 Sep 2009",/event.aspx?112785,Ryan Hawkin
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 7 Jun 2008",/event.aspx?53465,Chris de Luca
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 7 Jun 2008",/event.aspx?53465,Phon.o
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 7 Jun 2008",/event.aspx?53465,Dachshund
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 7 Jun 2008",/event.aspx?53465,Daria
"Rue de la Gare; 2882, St. Ursanne",10847, Fours-À-Chaux,/club.aspx?id=10847,"Sat, 7 Jun 2008",/event.aspx?53465,Ramon Lorenzo
