club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 11 Feb 2017",/event.aspx?918100,Keith Carnal
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 11 Feb 2017",/event.aspx?918100,Ayarcana
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 11 Feb 2017",/event.aspx?918100,Caremajor
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 11 Feb 2017",/event.aspx?918100,Licht.
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 19 Nov 2016",/event.aspx?893218,Ansome
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 19 Nov 2016",/event.aspx?893218,SNTS
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 19 Nov 2016",/event.aspx?893218,BÅX
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 19 Nov 2016",/event.aspx?893218,Daparec
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 17 Sep 2016",/event.aspx?866387,Johannes Heil
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 17 Sep 2016",/event.aspx?866387,Markus Suckut
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 17 Sep 2016",/event.aspx?866387,Charles Fenckler
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 17 Sep 2016",/event.aspx?866387,Opuswerk
"18 Chemin Adrien-Stoessel, Meyrin Geneva",119870, GALVA,/club.aspx?id=119870,"Sat, 17 Sep 2016",/event.aspx?866387,Pranava
